node_1,node_2,edge
madhuri dixit,dalai,"Mother-daughter relationship between Madhuri Dixit's character, Dia Srivastav, and her daughter Radha, portrayed by Dalai"
madhuri dixit,divya dutta,"Best friend relationship between Madhuri Dixit's character, Dia Srivastav, and her best friend Najma, portrayed by Divya Dutta"
madhuri dixit,yashpal sharma,"Daughter-father relationship between Madhuri Dixit's character, Dia Srivastav, and her father, portrayed by Yashpal Sharma"
madhuri dixit,uttara baokar,"Wife-husband relationship between Madhuri Dixit's character, Dia Srivastav, and her husband's mother, portrayed by Uttara Baokar"
irrfan khan,divya dutta,"Spouse-friend relationship between Irrfan Khan's character, Farooque, and Najma, portrayed by Divya Dutta"
konkona sen sharma,madhuri dixit,"Friend-friend relationship between Konkona Sen Sharma's character, Anokhi, and Madhuri Dixit's character, Dia Srivastav"
konkona sen sharma,divya dutta,"Friend-friend relationship between Konkona Sen Sharma's character, Anokhi, and Najma, portrayed by Divya Dutta"
konkona sen sharma,uttara baokar,"Friend-friend relationship between Konkona Sen Sharma's character, Anokhi, and Dia Srivastav's mother-in-law, portrayed by Uttara Baokar"
kunal kapoor,madhuri dixit,"Friend-friend relationship between Kunal Kapoor's character, Imran Pathan, and Madhuri Dixit's character, Dia Srivastav"
ranvir shorey,madhuri dixit,"Friend-friend relationship between Ranvir Shorey's character, Mohan, and Madhuri Dixit's character, Dia Srivastav"
felix d'alviella,madhuri dixit,"Friend-friend relationship between Felix D'Alviella's character, Steve, and Madhuri Dixit's character, Dia Srivastav"
raghubir yadav,madhuri dixit,"Doctor-patient relationship between Raghubir Yadav's character, Doctor Saab, and Madhuri Dixit's character, Dia Srivastav"
akhilendra mishra,madhuri dixit,"Friend-friend relationship between Akhilendra Mishra's character, Chaudhary Om Singh, and Madhuri Dixit's character, Dia Srivastav"
nawazuddin siddiqui,madhuri dixit,"Friend-friend relationship between Nawazuddin Siddiqui's character, Dhan Kuber, and Madhuri Dixit's character, Dia Srivastav"
darshan jariwala,madhuri dixit,"Friend-friend relationship between Darshan Jariwala's character, Makarand, and Madhuri Dixit's character, Dia Srivastav"
vinod nagpal,madhuri dixit,"Father-daughter relationship between Vinod Nagpal's character and Madhuri Dixit's character, Dia Srivastav"
divyenndu,madhuri dixit,"Friend-friend relationship between Divyenndu's character and Madhuri Dixit's character, Dia Srivastav"
irrfan khan,ranvir shorey,"Spouse-friend relationship between Irrfan Khan's character, Farooque, and Ranvir Shorey's character, Mohan"
akshay kumar,madhuri dixit,"Spouse-spouse relationship between Akshay Kumar's character and Madhuri Dixit's character, Dia Srivastav"
ratna pathak shah,madhuri dixit,Spouse-spouse relationship between Ratna Pathak Shah's character and Akshay Kumar's character
