node_1,node_2,edge
movie,details,The statement 'HERE IS THE DETAILS OF MOVIE'S SUMMARY:' indicates that MOVIE and its summary are related through the details. This relation is represented by an edge in our ontology.
ajnabee,indian hindi-language action thriller film,Ajnabee is a 2001 Indian Hindi-language action thriller film directed by Abbas–Mustan and produced by Vijay Galani.
abbas–mustan,directors,Ajnabee is directed by Abbas–Mustan.
vijay galani,producer,Ajnabee is produced by Vijay Galani.
kareena kapoor,actor,Ajnabee stars Kareena Kapoor in her debut.
bipasha basu,actor,Ajnabee stars Bipasha Basu in her debut.
johnny lever,supporting role,Ajnabee has Johnny Lever in a supporting role.
dalip tahil,supporting role,Ajnabee has Dalip Tahil in a supporting role.
narendra bedi,supporting role,Ajnabee has Narendra Bedi in a supporting role.
sharat saxena,supporting role,Ajnabee has Sharat Saxena in a supporting role.
consenting adults,unofficial adaptation of the 1992 american thriller ,Ajnabee is an unofficial adaptation of the 1992 American thriller Consenting Adults.
raj,character,"In Ajnabee, Raj moves to Switzerland with his wife."
priya malhotra,character,"In Ajnabee, Priya Malhotra moves to Switzerland with her husband."
vikram bajaj,character,"In Ajnabee, Vikram Bajaj is an Indian neighbor of Raj and Priya Malhotra in Switzerland."
sonia bajaj,character,"In Ajnabee, Sonia Bajaj is an Indian neighbor of Raj and Priya Malhotra in Switzerland."
switzerland,location,Raj and Priya Malhotra move to Switzerland in Ajnabee.
mauritius,location,"Raj, Priya Malhotra, Vikram Bajaj, and Sonia Bajaj go on a Christmas vacation together to Mauritius in Ajnabee."
christmas vacation,event,"Raj, Priya Malhotra, Vikram Bajaj, and Sonia Bajaj go on a Christmas vacation together to Mauritius in Ajnabee."
vicky manipulates the scenario,action,"In Ajnabee, Vicky manipulates the scenario leading to Raj and Sonia getting paired while himself (Vicky) getting paired with Priya."
sonia becomes more forward in her advances,action,"In Ajnabee, Sonia becomes more forward in her advances towards Raj."
raj sees vikram kissing another woman,action,"In Ajnabee, Raj sees Vikram kissing another woman."
vikram eagerly suggests they should also too try it out,action,"In Ajnabee, Vicky eagerly suggests Raj and Sonia should also try partner-swapping."
partner-swapping,vicky,Vicky eagerly suggests they should also too try it out
vicky,raj,casually talks to Raj about partner-swapping .
priya,partner-swapping,Priya manages to reconcile Raj and Vicky on the eve of Vicky's birthday a few days later
vicky,priya,"Vicky suggests Raj To enjoy with Sonia and Vicky simultaneously request Raj to Let Himself (Vicky) to Enjoy with Priya for the night. Raj is disgusted by the offer, and an argument breaks out between the men."
raj,priya,"Priya being unaware of the whole situation going around her, she manages to reconcile Raj and Vicky on the eve of Vicky's birthday a few days later."
vicky,raj,"With Priya being unaware of the whole situation going around her, she manages to reconcile Raj and Vicky on the eve of Vicky's birthday a few days later."
vicky,priya,The two men celebrate by getting drunk together. Vicky Again suggests Raj to become Vicky and asks whether he(Vicky) could become Raj just for the night
