node_1,node_2,edge
coolie no. 1,tanishk bagchi,composed by Tanishk Bagchi for the movie Coolie No. 1
coolie no. 1,anand-milind,"originally composed by Anand-Milind for the movie Coolie No. 1, recreated in the current version"
coolie no. 1,sameer anjaan,"lyrics written by Sameer Anjaan for some songs of Coolie No. 1, recreated in the current version"
husn hai suhana,tanishk bagchi,composed by Tanishk Bagchi for the song 'Husn Hai Suhana' in Coolie No. 1
husn hai suhana,anand-milind,"originally composed by Anand-Milind for the song 'Husn Hai Suhana' in Coolie No. 1, recreated by Tanishk Bagchi"
husn hai suhana,sameer anjaan,"lyrics written by Sameer Anjaan for the song 'Husn Hai Suhana' in Coolie No. 1, recreated with original vocals and singer"
main toh raste se jaa raha tha,anand-milind,"originally composed by Anand-Milind for the song 'Main Toh Raste Se Jaa Raha Tha' in Coolie No. 1, recreated with original vocals and singer"
lijo george – dj chetas,coolie no. 1,composed by Lijo George – DJ Chetas for the movie Coolie No. 1
javed – mohsin,coolie no. 1,composed by Javed – Mohsin for the movie Coolie No. 1
salim–sulaiman,coolie no. 1,composed by Salim–Sulaiman for the movie Coolie No. 1
zee music company (all songs),coolie no. 1,label Zee Music Company (All Songs) for the songs of Coolie No. 1
tips music,"husnn hai suhana, mirchi lagi toh",label Tips Music for the songs 'Husn Hai Suhana' and 'Mirchi Lagi Toh'
teri bhabhi,danish sabri,The song 'Teri Bhabhi' features the lyrics written by Danish Sabri and sung by Javed - Mohsin.
teri bhabhi,negi,Dev Negi has composed the music for 'Teri Bhabhi'.
teri bhabhi,neha kakkar,The song 'Teri Bhabhi' features Neha Kakkar singing alongside Javed - Mohsin for its chorus.
husnn hai suhaana new,sameer anjaan,Sameer Anjaan has written the lyrics for 'Husnn Hai Suhaana New'.
husnn hai suhaana new,tanishk bagchi,"Tanishk Bagchi has recreated the music for 'Husnn Hai Suhaana New', which was originally composed by Anand-Milind."
husnn hai suhaana new,chandana dixit,"Chandana Dixit is one of the singers for 'Husnn Hai Suhaana New'. Alongside her, Abhijeet Bhattacharya has also lent his voice to this song."
mummy kassam,shabbir ahmed,Shabbir Ahmed is the lyricist for 'Mummy Kassam'.
mummy kassam,tanishk bagchi,"Tanishk Bagchi has composed and produced the music for 'Mummy Kassam'. Additionally, he also sings this song alongside Ikka."
mummy kassam,udit narayan,Udit Narayan is one of the singers for 'Mummy Kassam'. The other singer for this song is Ikka.
mirchi lagi toh new,sameer anjaan,Sameer Anjaan has written the lyrics for 'Mirchi Lagi Toh New'.
mirchi lagi toh new,lijo george,"'Mirchi Lagi Toh New' is remixed by DJ Chetas, but the original music for this song was composed by Anand-Milind."
tere siva,rashmi virag,Rashmi Virag is responsible for writing the lyrics for 'Tere Siva'.
tere siva,tanishk bagchi,Tanishk Bagchi has also composed and produced the music for 'Tere Siva'. Both Renessa Das and Ash King have lent their voices to this song.
coolie no. 1,farhad samji,"'Coolie No. 1' is the title track for this movie, and Farhad Samji has directed it."
coolie no. 1,salim–sulaiman,The music for 'Coolie No. 1' is composed by Salim-Sulaiman.
coolie no. 1,raj pandit,Raj Pandit sings the title track for 'Coolie No. 1'.
