node_1,node_2,edge
great grand masti,music,"The movie Great Grand Masti has music composed by Sanjeev-Darshan, Shaarib-Toshi and Superbia (Shaan, Gourov & Roshin)."
sanjeev-darshan,great grand masti,Sanjeev-Darshan composed the music for the movie Great Grand Masti.
shaarib-toshi,great grand masti,Shaarib-Toshi composed the music for the movie Great Grand Masti.
"superbia (shaan, gourov & roshin)",great grand masti,"Superbia (Shaan, Gourov & Roshin) composed the music for the movie Great Grand Masti."
teri kamar ko,kumaar,The lyrics of the song 'Teri Kamar Ko' from the movie Great Grand Masti are penned by Kumaar.
teri kamar ko,sanjeev-darshan,Sanjeev-Darshan composed the song 'Teri Kamar Ko' from the movie Great Grand Masti.
teri kamar ko,kanika kapoor,Kanika Kapoor sang in the song 'Teri Kamar Ko' from the movie Great Grand Masti.
resham ka rumaal,manoj yadav,The lyrics of the song 'Resham Ka Rumaal' from the movie Great Grand Masti are penned by Manoj Yadav.
resham ka rumaal,shaarib-toshi,Shaarib-Toshi composed the song 'Resham Ka Rumaal' from the movie Great Grand Masti.
resham ka rumaal,soniya sharma,Soniya Sharma sang in the song 'Resham Ka Rumaal' from the movie Great Grand Masti.
i wanna tera ishq,kumaar,The lyrics of the song 'I Wanna Tera Ishq' from the movie Great Grand Masti are penned by Kumaar.
i wanna tera ishq,sanjeev-darshan,Sanjeev-Darshan composed the song 'I Wanna Tera Ishq' from the movie Great Grand Masti.
i wanna tera ishq,shivranjani singh,Shivranjani Singh sang in the song 'I Wanna Tera Ishq' from the movie Great Grand Masti.
i wanna tera ishq,shivangi bhayana,Shivangi Bhayana sang in the song 'I Wanna Tera Ishq' from the movie Great Grand Masti.
lipstick laga ke,sameer anjaan,The lyrics of the song 'Lipstick Laga Ke' from the movie Great Grand Masti are penned by Sameer Anjaan.
lipstick laga ke,"superbia (shaan, gourov & roshin)","Superbia (Shaan, Gourov & Roshin) composed the song 'Lipstick Laga Ke' from the movie Great Grand Masti."
lipstick laga ke,shaan,Shaan sang in the song 'Lipstick Laga Ke' from the movie Great Grand Masti.
lipstick laga ke,payal dev,Payal Dev sang in the song 'Lipstick Laga Ke' from the movie Great Grand Masti.
great grand masti,music rights,The music rights of the movie Great Grand Masti are acquired by Zee Music Company.
