node_1,node_2,edge
akshay kumar,viraj shergill,"portrayed by Akshay Kumar in the movie, is a character named Viraj Shergill"
kareena kapoor,simrita rai,"portrayed by Kareena Kapoor in the movie, is a character named Simrita Rai"
aftab shivdasani,lucky shergill,"Viraj's brother, portrayed by Aftab Shivdasani in the movie"
amrita arora,kamini sandhu,"Simrita's friend, portrayed by Amrita Arora in the movie"
javed jaffrey,keswani,"portrayed by Javed Jaffrey in the movie, is a character named Keswani"
kirron khera,dolly bindra,"Simrita and Nimrita's aunt, portrayed by Kirron Khera in the movie"
vindu dara singh,gulshan shergill,"Viraj's brother, portrayed by Vindu Dara Singh in the movie"
ashwin mushran,parmeet sandhu,"Kamini's brother, portrayed by Ashwin Mushran in the movie"
boman irani,dr. sachin mishra (ent doctor),"portrayed by Boman Irani in the movie, is a character named Dr. Sachin Mishra (ENT doctor)"
brandon routh,self,appeared as himself in the movie
denise richards,self,appeared as herself in the movie
sylvester stallone,self,appeared as himself in the movie
holly valance,self,appeared as herself in the movie
