node_1,node_2,edge
kambakkht ishq,indian romantic action comedy film,The movie Kambakkht Ishq is a Indian romantic action comedy film directed by Sabbir Khan and produced by Sajid Nadiadwala.
sabbir khan,director,Sabbir Khan is the director of the movie Kambakkht Ishq.
sajid nadiadwala,producer,Sajid Nadiadwala is the producer of the movie Kambakkht Ishq.
indian,country,The movie Kambakkht Ishq is an Indian film.
romantic,genre,Kambakkht Ishq is a romantic film.
action,genre,Kambakkht Ishq is an action film.
comedy,genre,Kambakkht Ishq is a comedy film.
pammal k. sambandam,tamil film,The movie Kambakkht Ishq is based on the Tamil film Pammal K. Sambandam.
pammal k. sambandam,1999 film,The movie Pammal K. Sambandam was released in 1999.
akshay kumar,kareena kapoor,pivotal roles in the movie
aftab shivdasani,amrita arora,supporting roles in the movie
jaaved jaafrey,kirron kher,supporting roles in the movie
sylvester stallone,denise richards,"appear in cameos, playing themselves"
viraj shergill,simrita rai,instantaneously develop a dislike for each other at Lucky's and Kamini Sandhu's wedding ceremony
simrita,kamini,friendship/rivalry due to love triangle
simrita,viraj,encounter in a specific situation (disco bar)
kamini,viraj,"encounter in a specific situation (disco bar), possibly related to the love triangle"
simrita (with watch pendant),viraj,accidental ingestion during medical treatment
simrita,divorced father,"During one such process, which fails, it becomes clear that Simrita is bitter about her perceived unfaithfulness of the two most prominent men from her childhood: her divorced father and her elder sister's ex-husband."
simrita,elder sister's ex-husband,"During one such process, which fails, it becomes clear that Simrita is bitter about her perceived unfaithfulness of the two most prominent men from her childhood: her divorced father and her elder sister's ex-husband."
viraj,stomach,"Simrita tries various ways of getting the watch out. During one such process, which fails, it becomes clear that Simrita is bitter about her perceived unfaithfulness of the two most prominent men from her childhood: her divorced father and her elder sister's ex-husband."
denise richards,viraj,"Following the surgery, Viraj overhears the truth and leaves. Several days later, he proposes to Denise Richards in an attempt to forget about Simrita."
simrita,lucky,Simrita helps Lucky and Kamini reconcile
kamini,lucky,Simrita helps Lucky and Kamini reconcile
akshay kumar,hollywood stuntman,Kumar plays a Hollywood stuntman in the film
kareena kapoor,up-and-coming model,Kapoor plays a up-and-coming model.
kambakkht ishq,filming,Kambakkht Ishq is a film that involves the process of filming.
january 2008,filming,"In January 2008, filming for Kambakkht Ishq took place."
los angeles,film location,Kambakkht Ishq was filmed in Los Angeles.
