node_1,node_2,edge
sunny deol,suraj singh,Sunny Deol portrays the character Suraj Singh in this movie.
suniel shetty,raja chauhan,Suniel Shetty essays the role of Raja Chauhan in this motion picture.
shilpa shetty,sapna,"In this movie, Shilpa Shetty plays the character named Sapna."
ashutosh rana,rajveer thakur/yograj,Ashutosh Rana portrays Rajveer Thakur/Yograj in this motion picture.
vishwajeet pradhan,gogi,"In this movie, Vishwajeet Pradhan acts as Gogi."
shammi,balwant singh's mother,Shammi depicts the character Balwant Singh's mother in this film.
kiron kher,savitri devi singh,Kiron Kher portrays Savitri Devi Singh in this motion picture.
rajeev verma,balwant singh,"In this movie, Rajeev Verma plays the character named Balwant Singh."
sayaji shinde,himmatbhai,"In this film, Sayaji Shinde portrays Himmatbhai."
johnny lever,jugnu,Johnny Lever depicts Jugnu in this movie.
himani shivpuri,jugnu's wife,"In this film, Himani Shivpuri plays the role of Jugnu's wife."
shahbaz khan,police inspector khan,"In this movie, Shahbaz Khan portrays the character named Police Inspector Khan."
