node_1,node_2,edge
hrithik roshan,jay ray,"In the movie, Hrithik Roshan portrays the character Jay Ray."
barbara mori,linda/natasha,Barbara Mori plays the character Linda/Natasha in the movie.
kangana ranaut,gina grover,Kangana Ranaut appears as Gina Grover in a special appearance in the movie.
kabir bedi,bob grover,"In the movie, Kabir Bedi essays the character Bob Grover."
nicholas brown,tony grover,Nicholas Brown portrays the character Tony Grover in the movie.
anand tiwari,robin,"In the movie, Anand Tiwari features as Robin."
yuri suri,jamaal,"Yuri Suri plays Jamaal, Bob's family chauffeur in the movie."
madhuri bhatia,gina's mom,"In the movie, Madhuri Bhatia portrays Gina's mother."
steven michael quezada,a cop,Steven Michael Quezada appears as a cop in the movie.
ronald robert hamilton,railyard worker,"In the movie, Ronald Robert Hamilton portrays the character Railyard Worker."
camme tyla,news reporter,Camme Tyla features as a News Reporter in the movie.
ivan brutsche,border patrol,"In the movie, Ivan Brutsche plays Border Patrol."
luce rains,bounty hunter,Luce Rains appears as a Bounty Hunter in the movie.
