node_1,node_2,edge
hrithik roshan,dr. rohit mehra,"Hrithik Roshan plays the character of Dr. Rohit Mehra, a scientist and Krishna's father."
hrithik roshan,krishna mehra / krrish,"Hrithik Roshan plays the character of Krishna Mehra, who is both his own son and the superhero character Krrish."
priyanka chopra,krishna mehra / krrish,"Priyanka Chopra plays the love interest of Krishna Mehra, who is played by Hrithik Roshan."
rekha,sonia mehra,"Rekha plays the character of Sonia Mehra, Krishna's grandmother and Rohit's mother."
naseeruddin shah,dr. siddhant arya,"Naseeruddin Shah plays the character of Dr. Siddhant Arya, another scientist."
sharat saxena,vikram sinha,"Sharat Saxena plays the character of Vikram Sinha, Dr. Arya's senior security officer."
manini mishra,priya,Manini Mishra plays the role of Priya's friend Honey.
puneet issar,komal singh,"Puneet Issar plays the character of Komal Singh, Priya's camp leader."
akash khurana,father robericks,"Akash Khurana appears as Father Robericks, a Catholic school principal."
hemant pandey,bahadur,"Hemant Pandey plays the role of Bahadur, Krishna's friend."
zain khan,chintu,"Zain Khan appears as Chintu, another one of Krishna's friends."
fardeen hussaini,krishna's friend,Fardeen Hussaini plays the role of another one of Krishna's friends.
mickey dhamijani,krishna's friend,Mickey Dhamijani appears as yet another one of Krishna's friends.
archana puran singh,nayantara,"Archana Puran Singh portrays Nayantara, Priya and Honey's boss."
kiran juneja,priya's mother,Kiran Juneja appears as Priya's mother.
preity zinta,nisha mehra,"Preity Zinta portrays Nisha Mehra, Krishna's mother and Rohit's wife."
rakesh roshan,dr. sanjay mehra,"Rakesh Roshan appears as Dr. Sanjay Mehra, Krishna's grandfather and Rohit's father (in archive footage)."
