node_1,node_2,edge
riteish deshmukh,vishnu,Riteish Deshmukh portrays the character Vishnu in this movie.
sidharth malhotra,raghu nath,Sidharth Malhotra performs as Raghu Nath in this motion picture.
tara sutaria,zoya,Tara Sutaria depicts the character Zoya in the movie.
rakul preet singh,aarzoo hussain,Rakul Preet Singh appears as Aarzoo Hussain in this film.
nassar,narayan anna,Nassar enacts the role of Narayan Anna in this movie.
shaad randhawa,mazhar,Shaad Randhawa personifies Mazhar in this movie.
ravi kishan,acp ravi yadav,Ravi Kishan depicts the character ACP Ravi Yadav in this film.
om kanojiya,timepass,Om Kanojiya portrays Timepass in this movie.
anant jog,gaitonde,Anant Jog plays the character Gaitonde in this film.
amit mehra,gaitonde's son,Amit Mehra appears as Gaitonde's son in this movie.
varinder singh ghuman,rakka,Varinder Singh Ghuman performs the role of Rakka in this film.
bikramjeet kanwarpal,prison fighter,Bikramjeet Kanwarpal portrays the character Prison Fighter in this movie.
godaan kumar,shafi,Godaan Kumar depicts Shafi's role in this film.
uday nene,gopi,Uday Nene appears as Gopi in this movie.
alina kazi,payal hussain,Alina Kazi performs the character Payal Hussain in this film.
swati seth,zarika,Swati Seth portrays Zarika's role in this movie.
