node_1,node_2,edge
shah rukh khan,arun verma,Shah Rukh Khan played the role of Assistant Commissioner of Police Officer Arun Verma in the movie.
juhi chawla,geeta chaudhury,Juhi Chawla played the role of Geeta Chaudhury in the movie.
jackie shroff,javed abbas,Jackie Shroff played the role of Senior Superintendent of Police Officer Javed Abbas in the movie.
nirmal pandey,kkv,Nirmal Pandey played the role of Krishan Kant Virmani (KKV) in the movie.
dilip joshi,champak,Dilip Joshi played the role of Champak in the movie.
rajendranath zutshi,sawant,Rajendranath Zutshi played the role of Sawant in the movie.
akash khurana,police commissioner akash khurana,Akash Khurana played the role of Police Commissioner Akash Khurana in the movie.
keith stevenson,cbi chief,Keith Stevenson played the role of CBI Chief in the movie.
sahila chadha,bipasha,Sahila Chadha played the role of Bipasha in the movie.
suresh chatwal,rajendra,Suresh Chatwal played the role of Inspector Rajendra in the movie.
madhur mittal,michael,Madhur Mittal played the role of Michael in the movie.
m. rehman naushad ali,broker,M. Rehman Naushad Ali played the role of Broker in the movie.
jack gaud,shetty,Jack Gaud played the role of Shetty in the movie.
bharat dabholkar,j.d.,Bharat Dabholkar played the role of J.D. In the movie.
