node_1,node_2,edge
sanjay dutt,chetan chauhan,Sanjay Dutt plays the character of Chetan Chauhan in the movie.
ajay devgan,bhagat bhosle,Ajay Devgan portrays the character of Bhagat Bhosle in the film.
arjun rampal,anthony gonsalves,Arjun Rampal essays the role of Anthony Gonsalves in the movie.
kangana ranaut,khushi,Kangana Ranaut is seen as Khushi in the movie.
lisa haydon,dolly,Lisa Haydon features as Dolly in the movie.
chunky pandey,bhagat bholabhai chauhan a.k.a. bbc,Chunky Pandey portrays Bhagat Bholabhai Chauhan a.k.a. BBC in the movie.
hiten paintal,nano,"Hiten Paintal is seen as Nano, Chetan's sidekick in the film."
satish kaushik,father pascal,Satish Kaushik plays the character of Father Pascal in the movie.
mushtaq khan,usmaan,Mushtaq Khan essays the role of Usmaan in the movie.
bharti achrekar,rosy gonsalves,Bharti Achrekar features as Rosy Gonsalves in the movie.
anil dhawan,prithviraj rana,Anil Dhawan is seen as Prithviraj Rana in the movie.
mansha bahl,marry gonsalves,Mansha Bahl features as Marry Gonsalves in the movie.
