node_1,node_2,edge
sanjay dutt,lakhwinder 'lucky' singh lakha,Sanjay Dutt portrays the character of Lakhwinder 'Lucky' Singh Lakha in this movie.
soha ali khan,advocate sonia kapoor (aryan's wife),"Soha Ali Khan plays the role of Advocate Sonia Kapoor, who is married to Aryan."
fardeen khan,raj mittal,Fardeen Khan acts as Raj Mittal in this movie.
zayed khan,veer saxena,Zayed Khan portrays the character of Veer Saxena.
sharman joshi,aryan kapoor,Sharman Joshi performs as Aryan Kapoor.
esha deol,diya saxena (veer's wife),"Esha Deol plays the role of Diya Saxena, who is married to Veer."
ayesha takia,bhavana mittal (raj's wife),"Ayesha Takia acts as Bhavana Mittal, who is married to Raj."
aarti chhabria,rekha kothari (raj's girlfriend),"Aarti Chhabria portrays the character of Rekha Kothari, who is in a relationship with Raj."
riya sen,madhuri kothari (aryan's girlfriend),"Riya Sen acts as Madhuri Kothari, who is in a relationship with Aryan."
ali asgar,h.s gulati,Ali Asgar performs the character of H.S Gulati in this movie.
sophie choudry,dimple kothari (veer's girlfriend),"Sophie Choudry plays the role of Dimple Kothari, who is in a relationship with Veer."
satish shah,kothari,Satish Shah acts as Kothari in this movie.
rajpal yadav,mr. y,Rajpal Yadav performs the character of Mr. Y in this movie.
suresh menon,panditji,Suresh Menon acts as Panditji in this movie.
javed khan,marriage registrar,Javed Khan performs the character of Marriage Registrar in this movie.
