node_1,node_2,edge
student of the year 2,tiger zinda hai,"Both movies are directed by the Bollywood director, Ali Abbas Zafar."
student of the year 2,vishal–shekhar,"The music of Student of the Year 2 is composed by Vishal–Shekhar, who are also known for composing the music of other Bollywood movies like Tiger Zinda Hai."
student of the year 2,student of the year,"Student of the Year 2 is a sequel to the Bollywood movie Student of the Year, which was also composed by Vishal–Shekhar."
tiger zinda hai,vishal–shekhar,The music of Tiger Zinda Hai is also composed by Vishal–Shekhar.
bharat,student of the year 2,both are Bollywood films released in recent years
bharat,tiger zinda hai,both are Bollywood action films starring Salman Khan
the jawaani song,yeh jawani hai deewani,recreation of the iconic song from a previous Bollywood film
hook up song,mumbai dilli ki kudiyan,both are upbeat dance numbers from recent Bollywood films
the jawaani song,the hook up song,both are popular party songs from recent Bollywood films
the hook up song,mumbai dilli di kudiyaan,both are upbeat dance numbers with similar themes of youth and energy
