node_1,node_2,edge
arjun rampal,rahul verma,Arjun Rampal plays the character of Rahul Verma in this movie.
ameesha patel,pooja sharma,Ameesha Patel portrays the character of Pooja Sharma in this film.
ameesha patel,pooja rahul verma,"In this movie, Ameesha Patel's character Pooja is also known as Pooja Rahul Verma."
zayed khan,karan srivastav,Zayed Khan acts as Karan Srivastav in this movie.
alok nath,mr. sharma,"Alok Nath makes a special appearance as Mr. Sharma, Pooja's father in the film."
rakesh bedi,advocate saxena,"In this movie, Rakesh Bedi plays the role of Advocate Saxena."
virendra saxena,alex,"In the movie, Virendra Saxena is seen as Alex."
rajesh vivek,inspector khan,Rajesh Vivek essays the character of Inspector Khan in this film.
shashi kiran,book shop owner,"In the movie, Shashi Kiran portrays the role of Book Shop Owner."
achyut potdar,judge,Achyut Potdar is seen as Judge in this film.
