node_1,node_2,edge
jackie shroff,raj singh puri,is the portrayal of in the movie
anang desai,lalit kumar malhotra,is the father of Ronit Malhotra
supriya karnik,nalini malhotra,is the mother of Ronit Malhotra
amrish puri,jagdish kumar malhotra,is the uncle of Ronit Malhotra
rati agnihotri,shalini puri,was the wife of Raj Singh Puri
hrithik roshan,ronit malhotra,is the portrayal of in the movie
kareena kapoor,isha singh puri,is the wife of Ronit Malhotra (also known as Isha Ronit Malhotra)
kareena kapoor,isha,is a shorter version of the name 'Isha Singh Puri'
himani rawat,saania puri,is the portrayal of in the movie
dolly bindra,sania's mother-in-law,is the relation between Sania and her mother-in-law
kamya panjabi,pinky,is a shorter version of Pinky's name
subhash ghai,self,appeared in a cameo in the movie
rajan kapoor,sukant's father,is the relation between Sukant and his father
rahul singh,self,is a part of the movie
gargi patel,mrs. kudesia,is the relation between Mrs. Kudesia and herself
suman dutta,self,is a part of the movie
jennifer kotwal,preeti sahai,is the portrayal of in the movie
kamal adib,mr. kudesia,is the relation between Mr. Kudesia and himself
akhil ghai,pankaj kudesia,is the portrayal of in the movie
sheena bajaj,supriya,is the daughter of Avantika and Pankaj Kudesia
