node_1,node_2,edge
akshay kumar,anshul malhotra,Akshay Kumar portrays the character of Anshul Malhotra in the movie.
vaani kapoor,radhika malhotra,"Vaani Kapoor plays the role of Radhika Malhotra, who is Anshul's wife in the movie."
lara dutta,pm indira gandhi,Lara Dutta enacts the character of PM Indira Gandhi in the movie.
huma qureshi,isi informer adeela rehman,Huma Qureshi depicts the character of ISI Informer Adeela Rehman in the movie.
ashok chhabra,morarji desai,Ashok Chhabra essays the character of Morarji Desai in the movie.
siddhant ghegadmal,harish salgaonkar,Siddhant Ghegadmal portrays the role of Harish Salgaonkar in the movie.
adil hussain,n. f. santook,"Adil Hussain enacts the character of N. F. Santook, who is Anshul's boss in the movie."
denzil smith,r. n. kao,Denzil Smith depicts the character of R. N. Kao in the movie.
aniruddh dave,sameer 'puchchi' mehra,Aniruddh Dave enacts the role of Sameer 'Puchchi' Mehra in the movie.
thalaivasal vijay,p. v. narasimha rao,Thalaivasal Vijay portrays the character of P. V. Narasimha Rao in the movie.
zain khan durrani,daljeet 'doddy' singh,"Zain Khan Durrani plays the role of Daljeet 'Doddy' Singh, who is the main antagonist in the movie."
dolly ahluwalia,raavi malhotra,"Dolly Ahluwalia depicts the character of Raavi Malhotra, who is Anshul's mother in the movie."
mamik singh,ashish 'aashu' malhotra,"Mamik Singh portrays the role of Ashish 'Aashu' Malhotra, who is Anshul's brother in the movie."
abhijit lahiri,khurshed alam khan,Abhijit Lahiri enacts the character of Khurshed Alam Khan in the movie.
sumit kaul,dollar,Sumit Kaul portrays the role of Dollar in the movie.
sunit tandon,isi chief,Sunit Tandon enacts the character of ISI Chief in the movie.
sanat sawant,raj,Sanat Sawant portrays the role of Raj in the movie.
jatin negi,sundar,Jatin Negi enacts the character of Sundar in the movie.
denzil smith,n. k. singh,"Denzil Smith plays the role of N. K. Singh, who is Anshul's mentor in the movie."
vishwajeet pradhan,abdul qadir mastan,Vishwajeet Pradhan portrays the character of Abdul Qadir Mastan in the movie.
sharat saxena,k. r. narayanan,Sharat Saxena enacts the character of K. R. Narayanan in the movie.
brijendra kala,gulam sarwar khan,Brijendra Kala portrays the role of Gulam Sarwar Khan in the movie.
rajesh kumar,prem nath,Rajesh Kumar enacts the character of Prem Nath in the movie.
sandeep goyal,mani dass,Sandeep Goyal portrays the role of Mani Dass in the movie.
mukesh bhatt,abdul rehman,Mukesh Bhatt enacts the character of Abdul Rehman in the movie.
