node_1,node_2,edge
farhan akhtar,subedar milkha singh,Farhan Akhtar portrays the role of Subedar Milkha Singh in the movie.
japtej singh,little milkha,Japtej Singh plays the character of Little Milkha in the movie.
divya dutta,"isri kaur, milkha's elder sister","Divya Dutta enacts the character of Isri Kaur, Milkha's elder sister in the movie."
meesha shafi,perizaad,Meesha Shafi essays the role of Perizaad in the movie.
pavan malhotra,"havaldar gurdev singh, milkha's coach during his days in the indian army","Pavan Malhotra depicts Havaldar Gurdev Singh, Milkha's coach during his days in the Indian Army in the movie."
yograj singh,"ranbir singh, milkha's coach","Yograj Singh portrays Ranbir Singh, Milkha's coach in the movie."
art malik,"sampooran singh, milkha's father","Art Malik depicts Sampooran Singh, Milkha's father in the movie."
prakash raj,subedar veerapandian,Prakash Raj plays the character of Subedar Veerapandian in the movie.
k.k.raina,mr. wadhwa,K.K.Raina enacts the character of Mr. Wadhwa in the movie.
rebecca breeds,stella,Rebecca Breeds portrays Stella in the movie.
dalip tahil,jawaharlal nehru,Dalip Tahil essays the role of Jawaharlal Nehru in the movie.
shanta kumar,gen. ayub khan,Shanta Kumar portrays Gen. Ayub Khan in the movie.
dev gill,abdul khaliq,Dev Gill enacts the character of Abdul Khaliq in the movie.
nawab shah,khaliq's coach,Nawab Shah depicts Khaliq's coach in the movie.
jass bhatia,mahinder,Jass Bhatia portrays Mahinder in the movie.
salim zaidi,pakistani reporter,Salim Zaidi essays the character of Pakistani reporter in the movie.
sumit gulati,suresh kumar,Sumit Gulati portrays Suresh Kumar in the movie.
mahendra mewati,kirpal singh,Mahendra Mewati depicts Kirpal Singh in the movie.
rupinder singh gill,"sampreet singh, milkha's childhood friend","Rupinder Singh Gill portrays Sampreet Singh, Milkha's childhood friend in the movie."
preity üpala,the journalist,Preity Üpala essays the character of The Journalist in the movie.
sonam kapoor,"biro kaur, milkha's fleeting love interest (special appearance)","Sonam Kapoor appears as Biro Kaur, Milkha's fleeting love interest (special appearance) in the movie."
loy mendonsa,milkha singh (young),Loy Mendonsa portrays Milkha Singh (young) in the movie.
hrithik roshan,milkha singh (adult),Hrithik Roshan depicts Milkha Singh (adult) in the movie.
dirk hooper,music composer,Dirk Hooper composes music for the movie.
ramesh deo,background score,Ramesh Deo provides background score for the movie.
