node_1,node_2,edge
urmila matondkar,swati bhatia,Urmila Matondkar played the character Swati Bhatia in this movie.
ajay devgn,vishal bhatia,Ajay Devgn played the character Vishal Bhatia in this movie.
nana patekar,inspector liyaqat qureshi,Nana Patekar portrayed the character Inspector Liyaqat Qureshi in this movie.
rekha,sarita,Rekha acted as Sarita in this movie.
fardeen khan,sanjay thakkar,Fardeen Khan performed the role of Sanjay Thakkar in this film.
victor banerjee,dr. rajan,Victor Banerjee played Dr. Rajan in this movie.
tanuja,mrs. khosla,Tanuja portrayed Mrs. Khosla in this movie.
seema biswas,bai,Seema Biswas acted as Bai in this film.
barkha madan,manjeet khosla,Barkha Madan played the role of Manjeet Khosla in this movie.
master akshit,manjeet's son,Master Akshit portrayed Manjeet's Son in this film.
sunidhi chauhan,self,Sunidhi Chauhan appeared as herself in a special appearance.
