node_1,node_2,edge
chhichhoresoundtrack,pritam,composed by Pritam for the movie ChhichhoreSoundtrack
chhichhoresoundtrack,t-series,labeled by T-Series for the movie ChhichhoreSoundtrack
chhichhoresoundtrack,hindi,in Hindi language for the movie ChhichhoreSoundtrack
chhichhoresoundtrack,feature film soundtrack,is a feature film soundtrack for the movie ChhichhoreSoundtrack
woh din,arijit singh,performed by Arijit Singh in 'Woh Din' from ChhichhoreSoundtrack
khairiyat,arijit singh,performed by Arijit Singh in 'Khairiyat' from ChhichhoreSoundtrack
kal ki hi baat hai,kk4,performed by KK4 (KK) in 'Kal Ki Hi Baat Hai' from ChhichhoreSoundtrack
fikar not,"nakash aziz, dev negi, antara mitra, amit mishra, sreerama chandra, amitabh bhattacharya","performed by Nakash Aziz, Dev Negi, Antara Mitra, Amit Mishra, Sreerama Chandra, and Amitabh Bhattacharya in 'Fikar Not' from ChhichhoreSoundtrack"
control,"nakash aziz, manish j. tipu, geet sagar, sreerama chandra, amitabh bhattacharya","performed by Nakash Aziz, Manish J. Tipu, Geet Sagar, Sreerama Chandra, and Amitabh Bhattacharya in 'Control' from ChhichhoreSoundtrack"
woh din,tushar joshi,performed by Tushar Joshi in 'Woh Din (Film Version)' from ChhichhoreSoundtrack
khairiyat,bonus track,released as a bonus track for ChhichhoreSoundtrack
