node_1,node_2,edge
aamir khan,akash malhotra,Aamir Khan portrays the character of Akash Malhotra in the movie.
saif ali khan,sameer mulchandani,Saif Ali Khan acts as Sameer Mulchandani in the film.
akshaye khanna,siddharth 'sid' sinha,Akshaye Khanna essays the role of Siddharth 'Sid' Sinha in the movie.
preity zinta,shalini,Preity Zinta depicts the character of Shalini in the film.
sonali kulkarni,pooja,Sonali Kulkarni plays the role of Pooja in the movie.
dimple kapadia,tara jaiswal,Dimple Kapadia portrays Tara Jaiswal in the film.
samantha tremayne,deepa,Samantha Tremayne depicts the character of Deepa in the movie.
ayub khan,rohit,Ayub Khan acts as Rohit in the film.
rajat kapoor,mahesh,"Rajat Kapoor portrays Mahesh, Shalini's maternal uncle, in the movie."
suchitra pillai,priya,Suchitra Pillai depicts Priya in the film.
suhasini mulay,nandini sinha,"Suhasini Mulay essays the role of Nandini Sinha, Sid's mother, in the movie."
bomi doctor,a. r. mulchandani,"Bomi Doctor portrays A. R. Mulchandani, Sameer's father, in the movie."
anjula bedi,mrs. mulchandani,"Anjula Bedi depicts Mrs. Mulchandani, Sameer's mother, in the movie."
yusuf hussain,naresh,"Yusuf Hussain portrays Naresh, Pooja's father, in the film."
ahmed khan,a. k. malhotra,"Ahmed Khan essays the role of A. K. Malhotra, Akash's father, in the movie."
rajendranath zutshi,ajay (voice only),"Rajendranath Zutshi provides voice for Ajay, Tara's ex-husband, in the movie."
rakesh pandey,balwant,"Rakesh Pandey portrays Balwant, Rohit's father, in the film."
