node_1,node_2,edge
sunny deol,tara singh,Sunny Deol portrays the character of Tara Singh in this movie.
ameesha patel,sakeena ali singh,"Ameesha Patel plays the role of Sakeena Ali Singh, who is Tara Singh's wife."
amrish puri,mayor ashraf ali,"Amrish Puri acts as Mayor Ashraf Ali, who is Sakina's father and Tara Singh's father-in-law."
lillete dubey,shabana ali,"Lillete Dubey essays the character of Shabana Ali, who is Sakina's mother and Tara Singh's mother-in-law."
vivek shauq,darmiyaan singh,"Vivek Shauq portrays the role of Darmiyaan Singh, who is Tara Singh's best friend."
utkarsh sharma,charanjeet singh,"Utkarsh Sharma features as Charanjeet Singh, who is Tara Singh and Sakina's son."
suresh oberoi,taya kulwant singh,"Suresh Oberoi depicts the character of Taya Kulwant Singh, who is Tara Singh's elder uncle."
madhu malti kapoor,gurjeet singh,"Madhu Malti Kapoor enacts the character of Gurjeet Singh, who is Tara Singh's elder aunt."
pramod moutho,gurdeep singh,"Pramod Moutho portrays the character of Gurdeep Singh, who is Tara Singh's father."
kanika shivpuri,parmeet kaur,"Kanika Shivpuri plays the role of Parmeet Kaur, who is Tara Singh's mother."
mushtaq khan,gul khan,Mushtaq Khan features as Gul Khan.
dolly bindra,samira khan,Dolly Bindra portrays the character of Samira Khan.
madhumalti kapoor,tara singh's tayee,Madhumalti Kapoor plays the role of Tara Singh's Tayee.
arjun dwivedi,pakistani jailor,Arjun Dwivedi acts as the Pakistani jailor.
ahsaan khan,abdul ali,Ahsaan Khan portrays the character of Abdul Ali.
tony mirchandani,sarfaraz ali,Tony Mirchandani features as Sarfaraz Ali.
samar jai singh,salim ali,Samar Jai Singh plays the role of Salim Ali.
gyan prakash,wali mohammed,Gyan Prakash portrays the character of Wali Mohammed.
vikrant chaturvedi,karim,Vikrant Chaturvedi features as Karim.
om puri,brijmohan narayan,Om Puri depicts the character of Brijmohan Narayan.
mukesh khanna,rajiv narain,Mukesh Khanna features as Rajiv Narain.
sadashiv amrapurkar,abhimanyu rai,Sadashiv Amrapurkar portrays the character of Abhimanyu Rai.
anupam kher,bharat singh,Anupam Kher plays the role of Bharat Singh.
raj babbar,jagdish narayan,Raj Babbar features as Jagdish Narayan.
kulbhushan kharbanda,girdharilal singh,Kulbhushan Kharbanda portrays the character of Girdharilal Singh.
rajendra nath,mahatma gandhi,Rajendra Nath plays the role of Mahatma Gandhi.
manoj kumar,jawaharlal nehru,Manoj Kumar portrays the character of Jawaharlal Nehru.
raadhika sarathkumar,indira gandhi,Raadhika Sarathkumar plays the role of Indira Gandhi.
om puri,malavika shivpuri,"Om Puri plays the narrator in this context, and Malavika Shivpuri is introduced as Tara Singh's sister #1. This indicates a relation of being associated with the same character or event."
malavika shivpuri,preeti bhutani,Both Malavika Shivpuri and Preeti Bhutani are mentioned as sisters of Tara Singh. This suggests a relation of being siblings or family members.
tara singh,annual function,"Gulshan Mazdiasni plays the role of an Opera singer at the Annual Function in this context. Tara Singh is not explicitly mentioned as being related to the Annual Function, but it can be inferred that the function might have some connection with Tara Singh or his family, since both sisters are introduced in this context."
