node_1,node_2,edge
mani ratnam,guru,Mani Ratnam wrote and directed the movie Guru.
vijay krishna acharya,hindi dialogues,Vijay Krishna Acharya wrote the Hindi dialogues for the movie Guru.
mumbai,guru,Parts of the movie Guru were filmed in Mumbai.
madurai,guru,Parts of the movie Guru were filmed in Madurai.
turkey,guru,Parts of the movie Guru were filmed in Turkey.
badami,guru,Parts of the movie Guru were filmed in Badami.
melkote,guru,Parts of the movie Guru were filmed in Melkote.
chennai,guru,Parts of the movie Guru were filmed in Chennai.
pollachi,guru,Parts of the movie Guru were filmed in Pollachi.
chettinad region tamil nadu,guru,Parts of the movie Guru were filmed in the Chettinad region of Tamil Nadu.
athirappilly,guru,Parts of the movie Guru were filmed in Athirappilly.
express estates,guru,"Much of the movie Guru was shot on the Express Estates, which is located near Chennai."
a. r. rahman,guru,The music for the movie Guru was composed by A. R. Rahman.
gulzar,hindi dialogues,The Hindi dialogues in the movie Guru were written by Gulzar.
rajiv menon,guru,The cinematography for the movie Guru was handled by Rajiv Menon.
guru,r. madhavan's character,inspired by stories both past and present
swaminathan gurumurthy,r. madhavan's character,less known fact that the role of R. Madhavan is based on Swaminathan Gurumurthy
ambani's character,r. madhavan's character,"title 'Rajkahini' is speculated to be an acknowledgement of this fact, where in his name is playfully swapped"
gurumurthy character,swaminathan gurumurthy,"in real life, Gurumurthy has twin daughters much like the Guru character in the movie"
