node_1,node_2,edge
munna bhai m.b.b.s.,lage raho munna bhai,sequel of Munna Bhai M.B.B.S.
munna bhai m.b.b.s.,asthana's laugh,portrayed by Boman Irani in Munna Bhai M.B.B.S.
munna bhai m.b.b.s.,gandhi,Hirani's goal to revive an interest in Gandhi in Lage Raho Munna Bhai
munna bhai m.b.b.s.,chaiwala boy,Hirani's incident with a chaiwala boy during production of Lage Raho Munna Bhai
munna bhai,boy,The boy was a big Munna Bhai fan.
munna bhai,first working title,The first working title was Munna Bhai Meets Mahatma Gandhi.
munna bhai,related concept 1,"Shantanu (Moitra, the music director) told him that Munna Bhai is fine, but who is this Mahatma Gandhi?"
gandhiji's birthday,chai-wallah,"The context mentions a chai-wallah who asks, 'who is this Mahatma Gandhi?' on the day of Gandhiji's birthday."
gandhiji's birthday,politicians,"A few days ago on TV a lot of politicians were asked India-related questions, and I can't believe a lot of them don't know Gandhiji's birthday!"
gandhiji,first name,"Many didn't know his first name and kept saying, 'what's in a name, we respect his ideals,' but come on! How can you not know his name?'"
lage raho munna bhai,munna bhai m.b.b.s.,"Both films are part of the Munna Bhai film series, with Lage Raho Munna Bhai being a sequel to Munna Bhai M.B.B.S."
munna bhai,circuit,"Munna Bhai and Circuit are two major characters from the Munna Bhai film series, with Munna Bhai being portrayed by Sanjay Dutt in both Lage Raho Munna Bhai and Munna Bhai M.B.B.S., while Circuit is also played by Arshad Warsi in both films."
munna bhai m.b.b.s.,lage raho munna bhai,"Both Lage Raho Munna Bhai and Munna Bhai M.B.B.S. Are films from the Munna Bhai film series, with Munna Bhai M.B.B.S. Being a predecessor to Lage Raho Munna Bhai."
mumbai,goa,"Lage Raho Munna Bhai was shot in and around Mumbai, while the 'Aane Char Aane' song in the film was shot in Goa."
vidya balan,jahnavi,"Vidya Balan played the character of Jahnavi in Lage Raho Munna Bhai, and her voice was thought to be appropriate for that of a radio jockey."
munna bhai m.b.b.s.,lage raho munna bhai,"While there was a shortage of resources during the shooting of Munna Bhai M.B.B.S., the team managed to receive whatever was deemed necessary for Lage Raho Munna Bhai, including a Jimmy Jib camera crane."
hirani,joshi,"During the making of the screenplay for Lage Raho Munna Bhai, Hirani and Joshi stayed together for more than 4 months and developed scenes by going out for a walk and discussing them. They would not return home until they had created a scene that would make them laugh, cry, or have some provocative thought."
dutt,munna bhai,forgotten the character of Munna Bhai and had to watch the DVD of Munna Bhai M.B.B.S. 3 times before being able to film the scene correctly.
dutt,gandhi,"did not read Gandhi's autobiography as a preparation for Lage Raho Munna Bhai but his father and mother were his role models as they ""were basically Gandhians. We were brought up with those values."" "
dilip prabhavalkar,gandhi,"read Gandhi's works ""once again"" to prepare for his role."
boman irani,lucky singh,spent time with Sardarjis (male Sikhs) in auto spare parts shops to research his role.
vidya balan,radio jockeys,met with a couple of radio jockeys and watched them at work.
