node_1,node_2,edge
r. madhavan,nikhil agarwal,is playing the role of
irrfan khan,thomas,is playing the role of
paresh rawal,tukaram patil,is playing the role of
kay kay menon,suresh,is playing the role of
anand goradia,ashish,is playing the role of
rio kapadia,rensil,is playing the role of
ayesha raza mishra,sejal agarwal,is playing the role of
vibhavari deshpande,archana kadam,is playing the role of
sachin pathak,guddu,is playing the role of
santosh juvekar,ashok,is playing the role of
kavin dave,zandu,is playing the role of
rajesh bhosle,manya,is playing the role of
saksham dayama,yusuf,is playing the role of
sameer dharmadhikari,ajay pradhan,is playing the role of
vineet sharma,reporter,is playing the role of
harry shah,bakul patel,is playing the role of
sameer bapat,sameer,is playing the role of
smita jaykar,sejal's mother,is playing the role of
shri vallabh vyas,drug addict girl's father,is playing the role of
prinal oberoi,anusha,is playing the role of
upendra sidhaye,mall receptionist,is playing the role of
narayani shastri,shweta,is playing the role of
