node_1,node_2,edge
urmila matondkar,puro,Urmila Matondkar played the character of Puro in this movie.
puro,hamida,"In this movie, the character played by Urmila Matondkar was also known as Hamida."
manoj bajpayee,rashid,Manoj Bajpayee acted as Rashid in this movie.
rashid,ramchand,"In the context, Rashid was related to Ramchand. Further details about their relationship are not explicitly provided."
sanjay suri,ramchand,Sanjay Suri portrayed the character of Ramchand in this movie.
sandali sinha,lajo,Sandali Sinha appeared as Lajo in this movie.
isha koppikar,rajjo,Isha Koppikar played the character of Rajjo in this movie.
lilette dubey,tara- puro's mother,"In this movie, Lilette Dubey's character was identified as Tara, who was also known as Puro's mother."
kulbhushan kharbanda,mohanlal- puro's father,The character portrayed by Kulbhushan Kharbanda in this movie was called Mohanlal and he was also identified as Puro's father.
alok nath,shyamlal- ramchand's father,"In this movie, Alok Nath's character was referred to as Shyamlal and also identified as Ramchand's father."
farida jalal,ramchand's mother,The character played by Farida Jalal in this movie was known as Ramchand's mother.
seema biswas,pagli- mad woman,"In this movie, the character played by Seema Biswas was named Pagli and also identified as a mad woman."
dina pathak,rashid's aunt,The character portrayed by Dina Pathak in this movie was called Rashid's aunt.
sudha shivpuri,rashid's mother,"In this movie, Sudha Shivpuri appeared as Rashid's mother."
pradeep kuckreja,hukamchand,"This movie featured a character called Hukamchand, portrayed by Pradeep Kuckreja."
salima raza,hukamchand's wife,"In this movie, Salima Raza played the role of Hukamchand's wife."
ghulam arif,managing director,"This movie had a character called Managing director, played by Ghulam Arif."
rohitash gaud,rashid's brother,"In this movie, Rohitash Gaud portrayed the character of Rashid's brother."
saurabh bavaliya,lajo's cousin child,"The movie featured a character named Lajo's cousin child, played by Saurabh Bavaliya."
niharika,kamla,"This movie had a character called Kamla, portrayed by Niharika."
savita bajaj,daai- midwife,"In this movie, Savita Bajaj appeared as Daai- Midwife."
parveena bano,rahim's wife,The character played by Parveena Bano in this movie was called Rahim's wife.
