node_1,node_2,edge
sardar udham singh,hindustan socialist republican association (hsra),Udham was part of the HSRA in his past.
michael o'dwyer,assassination,Udham assassinated Michael O'Dwyer due to his role in suppressing a major uprising in Punjab.
caxton hall,o'dwyer's speech,Udham made his way to Caxton Hall where O'Dwyer was giving a speech about his time as Lt. Governor of Punjab.
present,london,Udham is in London during the present timeline.
india,release from prison,Udham was released from prison in India.
soviet union,udham's journey,Udham made his way to London via the Soviet Union during winter.
british authorities,watching udham,The British authorities were constantly watching Udham in India and London.
lawyer,udham's lawyer,A lawyer was appointed to Udham during his trial.
judges,sentencing udham,The judges sentenced Udham to death.
impromptu speech,udham's impromptu speech,Udham delivered an impromptu speech denouncing British rule in India and reaffirming his support for the Indian freedom movement.
detention conditions,udham's protest,Udham protested against the conditions of his detention.
jallianwala bagh,general dyer,"In favour of O'Dwyer, General Dyer opens fire on a crowd of 20,000 peaceful protestors inside Jallianwala Bagh."
jallianwala bagh,massacre,"General Dyer opens fire on a crowd of 20,000 peaceful protestors inside Jallianwala Bagh, resulting in a massacre."
udham singh,jallianwala bagh,Udham hears about the massacre and rushes to the grounds to help.
udham singh,makeshift hospital,"Along with a few other volunteers, Udham finds survivors and gets them to a makeshift hospital which is overwhelmed itself."
udham singh,bhagat singh,"Udham has a photo of Bhagat Singh, taken when Bhagat was in prison during his final days."
hunter commission,dyer,Dyer gives his own account to the Hunter Commission.
hunter commission,o'dwyer,O'Dwyer gives his own account to the Hunter Commission.
