node_1,node_2,edge
secret superstar,soundtrack album by amit trivedi,"The movie 'Secret Superstar' has a soundtrack album titled 'Secret Superstar Soundtrack' composed by Amit Trivedi, which was released on September 21, 2017."
amit trivedi,secret superstar soundtrack,"Composer Amit Trivedi created the 'Secret Superstar Soundtrack' for the movie 'Secret Superstar', which was released on September 21, 2017."
main kaun hoon,singles from secret superstar,"The song 'Main Kaun Hoon' is a single released as part of the album 'Secret Superstar Soundtrack' on August 23, 2017."
secret superstar,pad man,Both 'Secret Superstar' and 'Pad Man' are upcoming Bollywood movies produced by Red Chillies Entertainment.
main kaun hoon,meghna mishra,Meghna Mishra sang the song 'Main Kaun Hoon'.
main kaun hoon,track 1,The song 'Main Kaun Hoon' is track 1 on the album.
meri pyaari ammi,meghna mishra,Meghna Mishra sang the song 'Meri Pyaari Ammi'.
sapne re,meghna mishra,Meghna Mishra sang the song 'Sapne Re'.
i'll miss you,kushal chokshi,Kushal Chokshi sang the song 'I'll Miss You'.
nachdi phira,meghna mishra,Meghna Mishra sang the song 'Nachdi Phira'.
sexy baliye,mika singh,Mika Singh sang the song 'Sexy Baliye'.
gudgudi,sunidhi chauhan,Sunidhi Chauhan sang the song 'Gudgudi'.
o re manwa,meghna mishra,Meghna Mishra sang the song 'O Re Manwa'.
main kaun hoon (mandarin),huang bo,"For the film's China release, actor-singer Huang Bo sang a Mandarin Chinese version of the song 'Main Kaun Hoon'."
nachdi phira (cantonese),kay tse,"For the film's Hong Kong release, Cantopop star Kay Tse sang a Cantonese version of the song 'Nachdi Phira', entitled 'Ko Sing Yue'."
main kaun hoon,album,The song 'Main Kaun Hoon' is a part of the album.
meri pyaari ammi,album,The song 'Meri Pyaari Ammi' is a part of the album.
sapne re,album,The song 'Sapne Re' is a part of the album.
i'll miss you,album,The song 'I'll Miss You' is a part of the album.
nachdi phira,album,The song 'Nachdi Phira' is a part of the album.
sexy baliye,album,The song 'Sexy Baliye' is a part of the album.
gudgudi,album,The song 'Gudgudi' is a part of the album.
o re manwa,album,The song 'O Re Manwa' is a part of the album.
release,ko sing yue cho,The Cantonese version of 'Nachdi Phira' has been released under the title 'Ko Sing Yue Cho'.
cantonese,release,"A Cantonese version of 'Nachdi Phira', titled 'Ko Sing Yue Cho', has been released."
kay tse,release,Cantopop star Kay Tse has released a Cantonese version of 'Nachdi Phira' titled 'Ko Sing Yue Cho'.
digital release,release,"The Cantonese version of 'Nachdi Phira', entitled 'Ko Sing Yue Cho', has been digitally released on 11 April 2018."
cantopop,kay tse,"Cantopop star Kay Tse has released a Cantonese version of 'Nachdi Phira' under the title 'Ko Sing Yue Cho', which is a part of the Cantopop genre."
