node_1,node_2,edge
salman khan,radhe mohan,Salman Khan portrays the character Radhe Mohan in this movie.
bhumika chawla,nirjara bharadwaj,Bhumika Chawla acts as Nirjara Bharadwaj in the movie.
sachin khedekar,ajay mohan,Sachin Khedekar plays the character Ajay Mohan in the movie.
savita prabhune,gayatri mohan,Savita Prabhune portrays Gayatri Mohan in the movie.
ravi kishan,rameshwar,Ravi Kishan depicts Rameshwar's character in the movie.
sarfaraz khan,aslam sheikh,Sarfaraz Khan is seen as Aslam Sheikh in the movie.
darshan kumar,kanak sharma,Darshan Kumar depicts Kanak Sharma's character in the movie.
gopal datt,chander,Gopal Datt plays Chander's role in the movie.
anang desai,doctor acharya,Anang Desai portrays Doctor Acharya's character in the movie.
dinesh kaushik,aatmaram,Dinesh Kaushik depicts Aatmaram's role in the movie.
indira krishnan,mamta,Indira Krishnan portrays Mamta's character in the movie.
radhika chaudhari,mute beggar,Radhika Chaudhari is seen as a mute beggar in the movie.
saurabh dubey,pandit bharadwaj,Saurabh Dubey portrays Pandit Bharadwaj's character in the movie.
mahendra verma,brothel pimp,Mahendra Verma is seen as Brothel pimp's character in the movie.
ghanashyam nayak,chandu chaiwala,Ghanashyam Nayak plays Chandu Chaiwala's character in the movie.
