node_1,node_2,edge
tere naam,o jaana,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
tere naam,odhni,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
tere naam,lagan lagi,"all three songs are from the Tere Naam soundtrack composed by different composers - Himesh Reshammiya and Sajid-Wajid, indicating a relation between the soundtrack artists."
tere naam,chand,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
tere naam,man basia o kanha ,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
kyun kisi ko,o jaana,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
kyun kisi ko,tere naam,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
lagan lagi,kyun kisi ko,"both songs are from the Tere Naam soundtrack composed by different composers - Himesh Reshammiya and Sajid-Wajid, indicating a relation between the soundtrack artists."
lagan lagi,odhni,"both songs are from the Tere Naam soundtrack composed by different composers - Sajid and Himesh Reshammiya, indicating a relation between the soundtrack artists."
lagan lagi,tere naam,"all three songs are from the Tere Naam soundtrack composed by different composers - Himesh Reshammiya and Sajid-Wajid, indicating a relation between the soundtrack artists."
man basia o kanha ,tere naam,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
chand,kyun kisi ko,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
chand,odhni,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
chand,lagan lagi,"all three songs are from the Tere Naam soundtrack composed by different composers - Himesh Reshammiya, indicating a relation between the soundtrack artists."
chand,man basia o kanha ,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
o jaana,kyun kisi ko,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
o jaana,lagan lagi,"all three songs are from the Tere Naam soundtrack composed by different composers - Sajid and Himesh Reshammiya, indicating a relation between the soundtrack artists."
o jaana,man basia o kanha ,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
o jaana,chand,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
o jaana,tere naam,"both songs are from the Tere Naam soundtrack composed by Himesh Reshammiya, highlighting their relation as tracks on the same album."
odhni,kyun kisi ko,"both songs are from the Tere Naam soundtrack composed by different composers - Himesh Reshammiya, indicating a relation between the soundtrack artists."
odhni,lagan lagi,"all three songs are from the Tere Naam soundtrack composed by different composers - Sajid and Himesh Reshammiya, indicating a relation between the soundtrack artists."
