node_1,node_2,edge
 flashbacks to 1989–1990 , islamic militants storm and banish kashmiri pandits from the kashmir valley using the slogans raliv galiv ya chaliv or al-safa batte dafa , The flashbacks depict the violent actions taken by Islamic militants against Kashmiri Pandits during 1989–1990 in Kashmir.
 pushkar nath pandit , karan ," Pushkar Nath Pandit, a teacher, fears for the safety of his son Karan during the violence against Kashmiri Pandits in 1989–1990."
 pushkar nath pandit , brahma dutt ," Pushkar requests his friend Brahma Dutt, a civil servant, for Karan's protection during the violence against Kashmiri Pandits in 1989–1990."
 brahma dutt , chief minister of jammu and kashmir (j&k)," Brahma takes up the issue with the chief minister of Jammu and Kashmir (J&K) during the violence against Kashmiri Pandits in 1989–1990, but the chief minister suspends Brahma."
pushkar,bitta,"Militant commander Farooq Malik Bitta, also a former student of Pushkar's, breaches Pushkar's house. Pushkar and his daughter-in-law Sharda plead for their lives as Karan hides in a rice container but is found and shot by Bitta."
karan,pushkar,"Karan, a family member of Pushkar's, gets injured from gunshots and later succumbs to injuries due to the hospital getting taken over by militants who forbid treating non-Muslims."
sharda,bitta,"Bitta compels Sharda, Pushkar's daughter-in-law, to eat rice soaked in Karan's blood in exchange for their lives."
pushkar,vishnu ram,"Under the guise of offering protection, a group of militants arrives to pick up Kaul and his son. The rest of the Pandits leave the place but are later shocked to find corpses of Kaul and his son hanging from trees."
kaul,pushkar,"Kaul, a Hindu poet, maintains a cordial relationship with Muslims and takes in many Pandits into his home. Subsequently, the corpses of Kaul and his son get hung from trees after being picked up by militants under the guise of offering protection."
pushkar,brahma,"At Pushkar's request, Brahma manages to get Sharda a government job in Nadimarg in Kashmir."
home minister,pushkar,The Home Minister visits the Jammu camps where Pushkar demands the removal of Article 370 and the resettlement of Kashmiri Pandits.
krishna,radhika menon,Radhika Menon is a supporter of Kashmiri separatism and has influenced Krishna's beliefs as a student at ANU.
sharda,farooq,"Farooq saws Sharda's body in half and lines up her elder son Shiva and the remaining Pandits, killing them all."
pushkar,brahma,"Brahma recalls the events of Kashmir that Pushkar's friends Brahma, Vishnu, Mahesh, and police officer Hari Narain recall from their memory."
karan,hari narain,Hari Narain served in Kashmir when Karan was killed.
krishna,government of india,holds the Government of India responsible for the issue of Kashmir
professor radhika menon,krishna,gives advice to Krishna regarding the Government of India's responsibility for the issue of Kashmir
pushkar,krishna,travels to his ancestral home in Kashmir to scatter the ashes per Pushkar's last wish
professor radhika menon,krishna,asks Krishna to record some footage in Kashmir to expose the government's supposed atrocities
bitta,krishna,accuses Bitta of being responsible for the situation of the Pandits in Kashmir
bitta,indian army,"claims that it was the Indian Army, who killed Krishna's mother and brother"
krishna,brahma,questions Brahma about Bitta's claim regarding the Indian Army's involvement in Krishna's family's deaths
pushkar,krishna,"gives files of newspaper cuttings (collected by Pushkar) reporting that militants, disguised as Indian Army soldiers, had killed them"
krishna,anu campus,gives a scheduled speech at the ANU campus for the university presidential elections
professor radhika menon,krishna,resists and ridicules Krishna's speech initially at the meeting
students,krishna,eventually welcome and applaud Krishna's speech at the meeting
