node_1,node_2,edge
balram halwai,indian underclass,"Believes that the Indian underclass is trapped in a perpetual state of servitude, like chickens in a chicken coop."
balram halwai,delhi,Offered a scholarship to a school in Delhi because of his advanced academics
balram halwai,white tiger,"Told that he is a 'white tiger', someone born only once in a century, because of his advanced academics."
balram halwai,stork,Was forced by his grandmother to work in the village's tea stall when his father was unable to pay off landlord 'the Stork'
balram halwai,ashok,Aspired to become a chauffeur for the Stork's son Ashok
balram halwai,pinky,Ashok returned from the United States with his Jackson Heights-raised wife Pinky
ashok,delhi,Ashok and his family move to Delhi.
pinky,delhi,Ashok and Pinky move to Delhi.
ashok,indian politicians,Ashok bribes Indian politicians in Delhi.
delhi,muslim driver,The primary driver in Delhi is a Muslim.
muslim driver,prejudice,Balram's family has a prejudice against Muslims in Delhi.
primary driver,fired,The primary driver is fired due to Balram exposing him being Muslim.
pinky,drunkenness,Pinky gets drunk in Delhi.
ashok,confession,The Stork family forces Balram to sign a confession endorsed by his grandmother in Delhi.
child,accident,Pinky accidentally hits and kills a child in Delhi.
balram,shaken,Balram is left shaken after Pinky's accident in Delhi.
ashok,disposability,"Balram realizes that loyal service to Ashok was no guarantee of a comfortable life once his services were no longer needed, while in Delhi."
ashok,deception,Balram defrauds Ashok with fake invoices while in Delhi.
car,unlicensed taxi,Balram uses the car as an unlicensed taxi while in Delhi.
balram,stork family,Angered the Stork family by donating change to a beggar
balram,grandmother,Learned that grandmother is following through with her plans to get him married against his wishes
ashok,balram,Worked as a driver for Ashok
ashok,white tiger,Was planning to replace Balram with a new driver
balram,stork family,Encountered setback by angering the Stork family
balram,grandmother,Learned that grandmother sent one of his younger nephews to live with him to learn how to become a driver
bangalore,balram,Moved to Bangalore and became wealthy by using a portion of the stolen cash to bribe the police and starting his own taxi company
bangalore,it companies bubble,Was in Bangalore during its bubble for large IT companies
balram,drivers,"Treated his drivers as employees and not as servants, took personal and financial responsibility for any incidents caused by them"
balram,nephew,Took his nephew with him to Bangalore and sponsored his education
balram,remaining family,Acknowledged that his remaining family back home may have been killed by the Stork's men in retribution
white tiger,balram,Changed his name to Ashok Sharma after escaping servitude
