node_1,node_2,edge
saif ali khan,ssp vikram,Saif Ali Khan plays the role of SSP Vikram in this movie.
hrithik roshan,vedha betal,Hrithik Roshan portrays the character of Vedha Betal in the film.
radhika apte,priya,Radhika Apte essays the role of Priya in the movie.
rohit saraf,shatak betal,Rohit Saraf is seen portraying the character of Shatak Betal.
ishan tripathi,young shatak,Ishan Tripathi plays the young version of Shatak in this movie.
yogita bihani,chanda,Yogita Bihani enacts the role of Chanda.
drashti bhanushali,young chanda,Drashti Bhanushali depicts the young version of Chanda in the movie.
sharib hashmi,babloo,Sharib Hashmi portrays the character of Babloo.
satyadeep mishra,ssp abbas ali,Satyadeep Mishra acts as SSP Abbas Ali in the movie.
sudhanva deshpande,ig surendhar,Sudhanva Deshpande depicts the role of IG Surendhar.
govind pandey,parashuram pandey,Govind Pandey enacts the character of Parashuram Pandey.
manuj sharma,constable dubey,Manuj Sharma portrays the role of Constable Dubey in the movie.
bhupender negi,si giri,Bhupender Negi depicts the character of SI Giri.
dev chauhan,inspector prabhakar,Dev Chauhan plays the role of Inspector Prabhakar in this movie.
kapil sharma,hc yashwant,Kapil Sharma enacts the character of HC Yashwant.
vijay sanap,si ranjan,Vijay Sanap essays the role of SI Ranjan in the movie.
saurabh sharma,si ansari,Saurabh Sharma portrays the character of SI Ansari.
rati shankar tripathi,shiv prasad,Rati Shankar Tripathi enacts the role of Shiv Prasad.
bhushan vikas,ravi,Bhushan Vikas portrays the character of Ravi in this movie.
sahidur rehman,sanki,Sahidur Rehman enacts the role of Sanki.
durgaprasad mahapatra,mla mithilesh tiwari,Durgaprasad Mahapatra portrays the character of MLA Mithilesh Tiwari.
amarjeet singh,muni,Amarjeet Singh plays the role of Muni in the movie.
priya shukla,samira,Priya Shukla enacts the character of Samira.
