node_1,node_2,edge
hrithik roshan,arjun saluja,"In the movie, Hrithik Roshan portrays the character Arjun Saluja."
abhay deol,kabir dewan,Abhay Deol plays the role of Kabir Dewan in the movie.
farhan akhtar,imran qureshi,"In this film, Farhan Akhtar acts as Imran Qureshi."
katrina kaif,laila,Katrina Kaif essays the character of Laila in the movie.
kalki koechlin,natasha arora,"In the film, Kalki Koechlin enacts the role of Natasha Arora."
ariadna cabrol,nuria,Ariadna Cabrol portrays the character Nuria in the movie.
naseeruddin shah,salman habib,"Naseeruddin Shah appears as Salman Habib, Imran's biological father, in a special appearance."
deepti naval,rahila qureshi,"In the movie, Deepti Naval essays the character of Rahila Qureshi, who is Imran's mother."
suhel seth,mr. arora,"Suhel Seth enacts the role of Natasha's father, Mr. Arora, in the movie."
concha montero,señorita,Concha Montero plays the character Señorita in the movie.
