node_1,node_2,edge
romantic comedy,aaron seltzer,Aaron Seltzer is the co-writer and director of this upcoming romantic comedy.
romantic comedy,jason friedberg,Aaron Seltzer and Jason Friedberg sold an untitled romantic comedy pitch to Regency Enterprises and became attached to helm it.
romantic comedy,regency enterprises,Aaron Seltzer and Jason Friedberg sold an untitled romantic comedy pitch to Regency Enterprises and became attached to helm it.
romantic comedy,untitled,The title of this upcoming romantic comedy is currently unknown.
aaron seltzer,jason friedberg,Aaron Seltzer and Jason Friedberg sold an untitled romantic comedy pitch to Regency Enterprises and became attached to helm it.
aaron seltzer,director,Aaron Seltzer is the director of this upcoming romantic comedy.
jason friedberg,co-writer,Aaron Seltzer and Jason Friedberg are the co-writers of this upcoming romantic comedy.
regency enterprises,pitch,Aaron Seltzer and Jason Friedberg sold an untitled romantic comedy pitch to Regency Enterprises.
alyson hannigan,starring role,"According to a June 2005 announcement, Alyson Hannigan was set to star in this upcoming romantic comedy."
aaron seltzer,co-writer,Aaron Seltzer and Jason Friedberg are the co-writers of this upcoming romantic comedy.
jason friedberg,director,"According to a June 2005 announcement, Aaron Seltzer and Jason Friedberg were attached to helm this upcoming romantic comedy."
alyson hannigan,romantic comedy,"According to a June 2005 announcement, Alyson Hannigan was set to star in this upcoming romantic comedy."
adam campbell,starring role,"According to a June 2005 announcement, Adam Campbell was also set to star in this upcoming romantic comedy."
