node_1,node_2,edge
the voyage of doctor dolittle,robert downey jr.,"In March 2017, Robert Downey Jr. Was cast to star in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,harry collett,"In December, Harry Collett was also cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,jim broadbent,"In December, Harry Collett and Jim Broadbent were also cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,antonio banderas,"In February 2018, Antonio Banderas was added to the live-action cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,michael sheen,"In February 2018, Antonio Banderas and Michael Sheen were added to the live-action cast in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,tom holland,"In February 2018, Tom Holland was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,emma thompson,"In February 2018, Emma Thompson was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,ralph fiennes,"In February 2018, Ralph Fiennes was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,selena gomez,"In February 2018, Selena Gomez was cast to voice an animal in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,kumail nanjiani,"In March 2019, Kumail Nanjiani signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,octavia spencer,"In March 2019, Octavia Spencer signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,john cena,"In March 2019, John Cena signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,rami malek,"In March 2019, Rami Malek signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,craig robinson,"In March 2019, Craig Robinson signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,marion cotillard,"In March 2019, Marion Cotillard signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,frances de la tour,"In March 2019, Frances de la Tour signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,carmen ejogo,"In March 2019, Carmen Ejogo signed on for a voice role in The Voyage of Doctor Dolittle."
the voyage of doctor dolittle,regine (character),"The character Regine, voiced by Carmen Ejogo, was cut from the finished film."
dr. dolittle,neuro-pagan physician,Inspiration for the character in the film stemmed from a Welsh neo-pagan physician.
the voyage of doctor dolittle,dolittle,Title change from The Voyage of Doctor Dolittle to simply Dolittle in August.
liebesman,gaghan,Helped to oversee the filming alongside Gaghan.
chris mckay,universal,Assigned to storyboard sequences and assemble different edits before later leaving to instead direct The Tomorrow War.
seth rogen,neighbors co-writer brendan o'brien,"Prior to this, Universal had turned towards Seth Rogen and Neighbors co-writer Brendan O'Brien to help add comedy to the film, but neither could remain committed to the project and dropped out."
the lego batman movie,john whittington,"Screenwriter John Whittington had also performed rewrites on the script amid reshoots, and flew to London to meet with Downey."
robert downey jr.,dr. dolittle character,"Discussed the inspiration for the Dr. Dolittle character in the film, which he said stemmed from a Welsh neo-pagan physician on Joe Rogan's podcast The Joe Rogan Experience."
dolittle,budgeted at $175 million before reshoots,The film was budgeted at $175 million before reshoots.
dolittle,$233.6 million,"According to financial statements analyzed by Forbes the film spent a total of $233.6 million,"
dolittle,net cost of $192.4 million after uk tax credits,...with a net cost of $192.4 million after UK tax credits.
experience,dr. dolittle character in the film,"Experience discussed the inspiration for the Dr. Dolittle character, which stemmed from a Welsh neo-pagan physician called William Price."
downey jr.,dr. dolittle character in the film,"Downey Jr. Discussed the inspiration for the Dr. Dolittle character, which stemmed from a Welsh neo-pagan physician called William Price."
william price,dr. dolittle character in the film,"Downey Jr. Sent a picture of this wild looking guy wearing this kind of suit with stars on it and like a staff in his hand to Gaghan, who approved of it for the Dr. Dolittle character, which stemmed from William Price."
william price,welsh neo-pagan physician,Experience said that the inspiration for the Dr. Dolittle character stemmed from a Welsh neo-pagan physician called William Price.
william price,neo-druidist,"Experience said that the inspiration for the Dr. Dolittle character stemmed from a Welsh neo-pagan physician called William Price, who was a neo-druidist."
sia,new song,"Music artist Sia performed a new song of hers, 'Original', for the end credits."
danny elfman,film's score,Experience mentioned that composer Danny Elfman composed the film's score.
