node_1,node_2,edge
movie,summary,"A movie has a summary that provides a brief overview of its plot, characters, and themes."
dragonball evolution,loosely based on the japanese dragon ball manga series created by akira toriyama,Dragonball Evolution is a 2009 American superhero film loosely based on the Japanese Dragon Ball manga series created by Akira Toriyama.
goku,reveals his past,"In the film, the teenager Goku reveals his past"
lord piccolo,evil alien warlord,Goku sets out to fight the evil alien warlord Lord Piccolo who wishes to gain the powerful Dragon Balls and use them to take over Earth.
dragon balls,powerful,Lord Piccolo wishes to gain the powerful Dragon Balls
lord piccolo,wishes to take over earth,Lord Piccolo wishes to gain the powerful Dragon Balls and use them to take over Earth.
dragonball evolution,first official live-action adaptation of the dragon ball series,Dragonball Evolution is the first official live-action adaptation of the Dragon Ball series.
james wong,director,Dragonball Evolution is directed by James Wong
stephen chow,producer,Dragonball Evolution is produced by Stephen Chow
ben ramsey,writer,Dragonball Evolution is written by Ben Ramsey
justin chatwin,star,Dragonball Evolution stars Justin Chatwin
emmy rossum,star,Dragonball Evolution stars Emmy Rossum
james marsters,star,Dragonball Evolution stars James Marsters
jamie chung,star,Dragonball Evolution stars Jamie Chung
chow yun-fat,star,Dragonball Evolution stars Chow Yun-fat
joon park,star,Dragonball Evolution stars Joon Park
eriko tamura,star,Dragonball Evolution stars Eriko Tamura
asia,distributed in,"Dragonball Evolution was distributed in Japan and several other Asian countries on March 13, 2009."
north america,released in,"Dragonball Evolution was released in North America on April 10, 2009."
dragonball evolution,commercial failure,Dragonball Evolution was a commercial failure.
critics and fans alike,"lamented the script, cast, and unfaithfulness to the source material","Critics and fans alike lamented the script, cast, and unfaithfulness to the source material."
asia,released in,"Two thousand years ago, the Namekian was released in several other Asian countries."
adaptations,source material,failure at the box office serves as a factor for adaptations to deviate from the original source material
adaptations,loyalty,lack of loyalty in adaptations is attributed to their failure at the box office
king piccolo,namekian king piccolo,"King Piccolo, a character from the original source material, came to Earth and caused chaos"
mafuba,enchantment,The Mafuba is a powerful enchantment used to seal King Piccolo away
king piccolo,failure at the box office,King Piccolo's breakout from his imprisonment results in failure at the box office for adaptations based on the original source material
piccolo,king piccolo,Piccolo is the son of King Piccolo and carries forward his evil intentions
goku,grandpa gohan,Grandpa Gohan gives Goku a Dragonball on his eighteenth birthday
bulma,capsule corporation,"Bulma, from the Capsule Corporation, has invented a device to locate Dragonballs"
roshi,master roshi,"Goku seeks out Master Roshi, who has another Dragonball"
paozu city,finds him in paozu city,Roshi is found in Paozu City during the group's search for another Dragonball
yamcha,desert bandit yamcha,"The desert bandit Yamcha sets a trap for the group, and Roshi convinces him to join them"
chi-chi,competition,Chi-Chi is competing in The World Martial Arts Tournament
mai,henchwoman mai,"Mai, Piccolo's henchwoman, steals from the group during their search for another Dragonball and fights Chi-Chi in a match"
dragonballs,search for dragonballs,The group is on a quest to find all seven Dragonballs
group,the world martial arts tournament,The group visits The World Martial Arts Tournament.
chi-chi,mai,Chi-Chi fights Mai in a match at The World Martial Arts Tournament.
chi-chi,goku,Chi-Chi helps Goku in his training to learn the Kamehameha Wave.
roshi,sifu norris,Roshi consults his former teacher Sifu Norris.
solar eclipse,goku,The solar eclipse transforms Goku into Ōzaru.
roshi,piccolo,Ōzaru chokes Roshi to death.
piccolo,goku,Goku engages Piccolo in a final battle.
dragonballs,shenron,Goku uses the Dragonballs to summon Shenron.
dragon ball,live-action film adaptation,"In 2002, 20th Century Fox acquired the live-action feature film rights to the Dragon Ball franchise from Shueisha. This led to a series of negotiations and offers made by various directors such as Stephen Chow, Robert Rodriguez, Mark A.Z. Dippé, and Zack Snyder who ultimately declined. James Wong was then approached by 20th Century Fox and RatPac-Dune Entertainment co-founder Brett to write and direct the film, which he accepted in 2007."
james wong,dragon ball live-action film adaptation director,"In 2007, James Wong was approached by 20th Century Fox and RatPac-Dune Entertainment co-founder Brett to write and direct the Dragon Ball live-action film adaptation, which he accepted."
dragon ball,creative consultant,"In 2002, when 20th Century Fox acquired the live-action feature film rights to the Dragon Ball franchise from Shueisha, publisher of Toriyama's original manga series, Akira Toriyama was engaged by 20th Century Fox as a creative consultant."
stephen chow,dragon ball live-action film adaptation director candidate,"In 2002, Stephen Chow was approached to direct the Dragon Ball live-action film adaptation, but ultimately declined the chance to direct."
robert rodriguez,dragon ball live-action film adaptation director candidate,"In 2002, Robert Rodriguez was offered to direct the Dragon Ball live-action film adaptation, but ultimately passed."
mark a.z. dippé,dragon ball live-action film adaptation director candidate,"In 2002, Mark A.Z. Dippé was offered to direct the Dragon Ball live-action film adaptation, but ultimately passed."
zack snyder,dragon ball live-action film adaptation director candidate,"In 2002, Zack Snyder was offered to direct the Dragon Ball live-action film adaptation, but ultimately passed."
jackie chan,goku in live-action dragon ball adaptation,"In 2013, when asked about the casting for main protagonist Goku in a Dragon Ball live-action film adaptation, Dragon Ball creator Akira Toriyama said that ""nobody came to mind"" for the role, but if ""it were back when Jackie Chan was still young, I suppose I would have thought nobody could play Goku but him."" However, in 1995, Jackie Chan had expressed some interest in adapting Dragon Ball into a live-action film, but he said it would require ""a lot of amazing special effects and an enormous budget."""
