node_1,node_2,edge
kentucky fried movie for the modern age,outrageous comedy made up of several short films,"Charlie Wessler's idea for the project was a modern-day version of Kentucky Fried Movie, which consists of multiple outrageous short comedies."
funny or die,certain limits,"According to Farrelly, the shorts on Funny or Die have certain limitations that this project will go beyond."
three pairs of directors,project each,Charlie Wessler recruited three pairs of directors to write and direct one-third of the project each.
political pressure,not make r-rated movies that were marketed to teenagers,"Wessler faced political pressure from a studio, which prevented them from making R-rated movies targeted at teenagers."
peter farrelly,relativity media,"In 2009, Peter Farrelly and producer John Penotti took their pitch for the movie to Relativity Media. At that meeting, Wessler, Penotti, and Farrelly presented one short that they already had shot, which led Relativity to provide $6 million for the film."
kate winslet,hugh jackman,"They presented a short starring Kate Winslet and Hugh Jackman, which led Relativity to provide $6 million for the film."
kate winslet,blind date,"In the pitch and short presented by Peter Farrelly and producer John Penotti to Relativity Media, Kate Winslet's character went on a blind date with Hugh Jackman."
other potential backers,conventional movie,"Other potential backers did not believe that a movie with Kate Winslet for $6 million could happen, as they did not believe it could be a conventional movie."
movie,four years,The movie was made over four years due to its large cast and the fact that actors had to wait for their turn to shoot.
directors,shut down,"During the four years it took to make the movie, directors would come back to shoot for a week and then shut down for several months."
writers,shut down,"During the four years it took to make the movie, writers would come back to write for a week or two years and then shut down for several months."
"parker, stone, and the zuckers",backed out,"Writers Parker, Stone, and the Zuckers backed out before shooting began."
halle berry,peter farrelly,Farrelly directed the parts of the movie with Halle Berry.
kate winslet,halle berry,There is no clear relationship between Kate Winslet and Halle Berry in this context.
casting,wessler,spent years recruiting actors for the film.
wessler,agents,would avoid me because they knew what I wanted to do—
no pay,"$800-a-day, two-day shoot",that agent wants to book their big client in
hugh jackman,wessler,met the star at a wedding and then called him sometime later and pitched him the short.
sketch,wessler-jackman,became the reel to attract other A-list stars.
john hodgman,justin long,"Long asked Hodgman to participate in the project without revealing many details about it. Hodgman agreed before fully understanding the nature of the project, which involved filming for a movie."
elizabeth banks,james gunn,"Banks convinced Gunn to work on the project during a Facebook Q&A. However, Gunn has never seen the final product."
richard gere,wessler,Gere initially agreed to participate but later called Wessler and requested that the shoot be relocated from Los Angeles to New York City and completed in four days due to scheduling conflicts.
wait,shoot,strategy was simple: Wait for them. Shoot when they want to shoot.
clear desire,let,They clearly wanted out! but we wouldn't let them.
necrophilia,mortician,Anton Yelchin as a necrophiliac mortician who worked at a hospital and had sex with the dead female bodies
detective interview,missing daughter,Julianne Moore and Tony Shalhoub as a married couple being interviewed by a detective about their missing daughter.
refusal,playing role,"When he approached George Clooney about playing himself in a sketch, Clooney told him 'No fucking way.'"
a-list actors,mad screenwriter (quaid),"The filmmakers worked around the schedules of A-list actors, who were unaware of other sketches in the film featuring Quaid's character."
a-list actors,movie producer (kinnear),The filming of the whole movie took several years due to scheduling conflicts with multiple A-list actors and Kinnear's involvement.
mad screenwriter (quaid),movie producer (kinnear),"Both Quaid's character and Kinnear's character were involved in the film, but it is unclear how they interacted beyond their individual roles."
