node_1,node_2,edge
movie,summary,"A MOVIE is represented through its SUMMARY, which provides a brief description of the movie's plot, characters, and other important details."
rollerball,new sport of rollerball,Rollerball becomes popular in many countries in the year 2005.
rollerball,violent extension of roller derby involving motorcycles and a metal ball,The new sport of Rollerball is described as a violent extension of roller derby involving motorcycles and a metal ball.
jonathan cross,rollerball player for the zhambel horsemen in kazakhstan,Jonathan is invited by Marcus Ridley to join him playing Rollerball for the Zhambel Horsemen in Kazakhstan.
marcus ridley,rollerball player and team captain of zhambel horsemen,Marcus Ridley is introduced as a Rollerball player and the team captain of the Zhambel Horsemen.
alexi petrovich,rollerball promoter,Jonathan is described as the poster child of Rollerball promoter Alexi Petrovich.
nhl,professional ice hockey league,Jonathan hopes to try out for the NHL in some months.
kazakhstan,country where jonathan plays rollerball for the zhambel horsemen,Jonathan is forced to accept Marcus's offer to play Rollerball for the Zhambel Horsemen in Kazakhstan.
police,authorities looking for jonathan,"Jonathan recklessly skates through his hometown, causing the police to start looking for him."
jonathan,alexi petrovich,"Jonathan's team promoter, Alexi Petrovich, has a vested interest in keeping the game popular through planned gory ""accidents"". Jonathan and Ridley eventually discover this situation but want to keep their current lifestyle."
jonathan,ridley,"Jonathan and Ridley pretend to know nothing about Alexi's plan but after an ""accident"" almost kills Aurora, they decide to flee the country to save their lives."
aurora,jonathan,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian."
aurora,alexi petrovich,"Both Jonathan and Ridley want to keep their current lifestyle, but after an ""accident"" almost kills Aurora, the teammates cannot join them as they have families there."
opponent,team mate,"During one game, one of their teammates is killed by an opponent, something that is prone to happen in a match. However, the team quickly discovers that that murder might have been planned before the game, as one of the straps of the victim's helmet had been cut and the cameras filming the event seemed ready for the death to happen."
jonathan,alexi,"Jonathan and Alexi are followed by Alexi's men who attack them before they can reach the Russian border. Jonathan is injured, and Ridley has to leave him behind. Alexi captures Jonathan and kills Ridley before he can cross the border. Jonathan says that he will keep working for Alexi if Aurora is traded to another team, wanting to keep her away from danger. Alexi complies, secretly transferring Aurora to the opposing team for the next match."
jonathan,aurora,"Jonathan wants to keep Aurora away from danger and asks Alexi to trade her to another team. In return, Jonathan says that he will continue working for Alexi."
alexi,aurora,Alexi secretly transfers Aurora to the opposing team for the next match in return for Jonathan's cooperation.
jonathan,rollerball match,"During the upcoming Rollerball match, Jonathan tries to start a revolution by breaking the rules and causing chaos. This leads to more violent gameplay."
jonathan,wwe-like showmanship,"In response to Jonathan's actions, Alexi tries to stage a public execution of him by removing all the rules from the Rollerball match. This leads to more WWE-like showmanship and spectacle in the game."
jonathan,crazy costumes and stunts,The crazy costumes and stunts that Jonathan introduces during the Rollerball match become a part of the WWE-like showmanship in the game.
