node_1,node_2,edge
dr. seuss book,dreamworks pictures,Acquired film rights in 1997
dreamworks pictures,universal pictures,"Joined to finance, distribute and produce the film with DreamWorks for The Cat in the Hat"
imagine entertainment,dreamworks pictures,"Joined to finance, distribute and produce the film with DreamWorks for The Cat in the Hat"
brian grazer,the grinch,Producer of The Grinch also produced The Cat in the Hat
bo welch,dreamworks pictures,Directed The Cat in the Hat after being offered by Brian Grazer over the phone
myers,studio,"Studio hired Alec Berg, David Mandel and Jeff Schaffer to rewrite the film script because Myers had scheduling conflicts with his role in The Santa Clause 2."
myers,allen,"Initially, Allen was considered for the role of the Cat by Myers, but scheduling conflicts with The Santa Clause 2 forced Myers to drop out and Allen also dropped out."
myers,casting director,The casting director chose Myers for the role of the Cat after scheduling conflicts with The Santa Clause 2 forced Allen to drop out.
allen,screenplay writer,"As a child, Allen was afraid of Seuss' 'mischievous feline babysitter' and it was his dream to give the edge that scared him for the role. The script was initially based on a version of the original book's story conceived by Allen."
allen,"berg, mandel and schaffer","The studio did not commission a screenplay until late February 2001, when Berg, Mandel and Schaffer were hired to rewrite the film."
myers,baldwin and preston,"Several people said Myers had considerable input into the film's direction by telling some of the cast, namely co-stars Baldwin and Preston, how to perform their scenes."
myers,dr. seuss,"Myers stated in an interview that he was a long-time fan of the original Dr. Seuss book, and that it was the first book he ever read."
sprockets film's cancellation,myers,Myers was obligated to appear in the film as a result of a settlement related to the Sprockets film's cancellation.
peri gilpin,joan walden,"Peri Gilpin was originally attached to play Joan Walden, but was unable to do so due to scheduling conflicts with Frasier."
rick baker,cat costume,"Originally, Rick Baker was set to be the prosthetic makeup designer for the film after his previous experience with How the Grinch Stole Christmas, but due to conflicts with the studio and production team, particularly with Myers' behavior (showing up late to meetings and refusing to come to makeup tests punctually) and the complex challenge of designing the character's makeup, he left the project and was replaced by Steve Johnson."
steve johnson,cat costume,"The Cat costume was made of angora and human hair and was fitted with a cooling system. To keep Myers cool during the outdoor shoots, a portable air conditioner was available that connected a hose to the suit between shots, while the tail and ears were battery-operated."
fish,visual effects and animation by rhythm and hues studios,"The Fish had no shoulders, hips or legs, so all of the physical performance had to emit from the eyes, head and fin motion. As a result, Rhythm and Hues Studios, responsible for visual effects and animation in films such as Mouse Hunt, Cats & Dogs, The Lord of the Rings: The Return of the King and Scooby-Doo, played a significant role in creating the character's unique appearance."
fish,sean hayes,"Sean Hayes provided the voice for the Fish and found the role significantly different from his usual on-camera jobs due to not knowing how the final animation would look, resulting in all of his voice work taking place alone in a sound booth."
fish,giant props for the film,"Before filming, giant props for the film were stolen from the set and found vandalized with graffiti in a shopping mall car park in Pomona, California."
fish,set,"Principal photography took place mostly in California from October 2002 to January 2003. The neighborhood and the town center was filmed in a rural valley near Simi Valley, where 24 houses were constructed."
fish,outdoor shots,The downtown area outdoor shots were filmed along a Pomona street where a number of antique and gift shops are located.
danielle chuchran,thing 1,"Danielle Chuchran portrayed Thing 1, and wore a prosthetic face mask and wig designed by Johnson as well."
brittany oaks,thing 2,"Brittany Oaks portrayed Thing 2, and wore a prosthetic face mask and wig designed by Johnson as well."
downtown area,pomona street,"The outdoor shots of the film were filmed along a Pomona street in the downtown area. This street is now known for its antique and gift shops, some of which still bear the surreal paint scheme and signage featured in the movie."
pomona street,antique and gift shops,The Pomona street where the outdoor shots were filmed is home to a number of antique and gift shops whose surreal paint scheme and signage can still be seen today.
sky,downtown area,"Due to heavy smog, the sky had to be digitally replaced in the film to make it look less polluted. This is because the downtown area where the outdoor shots were filmed has a lot of smog."
background,sky,The background colors in the film had to be digitally fixed because they did not complement the newly added sky.
myers,house,"During his scenes with Spencer Breslin and Dakota Fanning, a piece of the house fell behind Mike Myers, which he was unaware of. His reaction to this incident was real and left unscripted in the final film."
myers,assistant,"Mike Myers had an assistant who held chocolates in a Tupperware, and whenever he needed a piece of chocolate, his assistant would come over and give it to him."
welch,myers,"During breaks in filming, Welch, who was a first-time director, would often let Myers decide whether the retakes of scenes were good enough or not."
hill,myers,"According to Amy Hill, Mike Myers refused to talk to anyone on the production (other than his assistants and director Welch) and isolated himself from the cast and crew during breaks in filming."
hill,welch,"However, Hill praised Welch as being 'really lovely'."
