node_1,node_2,edge
movie,summary,"A movie is represented by its summary, which provides a brief overview of the plot and characters in the movie."
the help,help,"The film and novel share the same title as they both focus on exposing the challenges faced by African American people during the Civil Rights Movement through the perspectives of black domestic workers, referred to as 'the help'."
eugenia phelan,skeeter,"Both terms refer to the protagonist of the story, a young white woman and aspiring journalist who decides to write a book from the point of view of black maids during the Civil Rights Movement."
aibileen clark,minny jackson,Both terms refer to two black maids who work for white families and are portrayed in the story. Their experiences and perspectives on race relations during the Civil Rights Movement are explored.
civil rights movement,1960s united states,"Both terms refer to the historical context in which the story takes place, a significant period of social and political change for African Americans."
mississippi,jackson suburb of madison,"Both terms refer to locations where the story is set, with Jackson being a city in Mississippi and Madison being a suburb of it."
dreamworks pictures,"producers chris columbus, michael barnathan, and brunson green","Both terms refer to the production company that acquired the screen rights to Kathryn Stockett's novel and produced the film. Chris Columbus, Michael Barnathan, and Brunson Green are the producers of the film."
aibileen clark,elizabeth leefolt,"Employed by Elizabeth as a domestic worker, raises her daughter Mae Mobley"
minny jackson,mrs. walters,Employed by Mrs. Walters as a domestic worker
minny jackson,hilly holbrook,Works for Hilly's mother Mrs. Walters and is disliked by Hilly
skeeter phelan,elizabeth leefolt,"Friend of Elizabeth, becomes aware of the mistreatment of domestic workers through her employment at Elizabeth's house"
skeeter phelan,eugenia stein,"Submits her writing to Elaine Stein, an editor at Harper & Row NYC, but is rejected"
hilly holbrook,society women's group,"Leader of the society women's group in Jackson, Mississippi"
row nyc,city's systemic racism,witnesses demeaning mistreatment of maids
hilly,separate bathrooms,insists on installing enshrined in building code
minny,enshrined separate bathrooms,defiantly uses indoor bathroom during a dangerous tornado
hilly,minny,"spreads the lie that she stole from her, forcing her teenage daughter to quit school to work"
aibileen,minny,let Skeeter interview after going to a dynamic sermon
aibileen,only son's tragic death,due to his negligent foreman after an on-the-job accident
tragic death,negligent foreman,due to his negligent foreman after an on-the-job accident.
skeeter,junior league newsletter,slow-walks a piece in the Junior League newsletter
yule may davis,tougaloo college,needs $75 to send both her twins to Tougaloo College
yule may davis,lost ring,found under a sofa and pawns it
hilly,nursing home,sends her mother to a nursing home for laughing about it
skeeter,constantine,confronts Charlotte about Constantine's departure
charlotte,constantine's departure,"Skeeter confesses that during a Daughters of America luncheon at her home, she fired Constantine when her daughter Rachel refused to enter the house through the kitchen"
rachel,heartbroken mother,"subsequently moved her heartbroken mother to Chicago, where she later died."
the help,jackson,Skeeter writes a book titled 'The Help' about the experiences of African American maids in Jackson. This leads to controversy and backlash from some of the white women in the city.
skeeter,stuart,Skeeter's boyfriend Stuart realizes she wrote 'The Help' and breaks up with her.
minny,celia,"Minny subtly reveals the 'terrible awful' to Celia, calling her 'Two Slice Hilly'."
hilly,skeeter,"Hilly threatens to sue Skeeter for libel over 'The Help', but backs down when she realizes the implications."
aibileen,her congregation,Aibileen's congregation honors her for her leadership in the publication of 'The Help'.
minny,johnny,Johnny promises Minny permanent job security and assures her that she can leave her abusive husband.
aibileen,mae,"As Aibileen is leaving, she begs Elizabeth to love her daughter who's crying for her."
elizabeth,hilly,Hilly pressures Elizabeth to fire Aibleen by claiming that she has stolen silverware.
elizabeth,aibileen,"As Aibleen is leaving, she decides to quit domestic work and become a writer instead."
greenwood,jackson,Greenwood was chosen to portray 1960s-era Jackson in the film adaptation of 'The Help'.
emma stone,eugenia 'skeeter' phelan,Emma Stone was attached to play the role of Eugenia 'Skeeter' Phelan in the film adaptation of 'The Help'.
viola davis,aibileen,Viola Davis played the role of Aibileen in the film adaptation of 'The Help'.
