node_1,node_2,edge
pixar,brad bird,"Brad Bird, an American director, writer, and animator, joined Pixar in March 2000 and pitched his story idea for a computer-animated superhero movie to old friend John Lasseter at Pixar. This resulted in the production of The Incredibles at Pixar."
the incredibles,brad bird,"Brad Bird, an American director, writer, and animator, developed his superhero story idea for a computer-animated movie in the early 1990s, which later became The Incredibles at Pixar."
superheroes,the incredibles,"The Incredibles is a computer-animated superhero movie produced by Pixar Animation Studios, based on Brad Bird's original idea for a homage to the 1960s comic books and spy films from his boyhood."
computer animation,the incredibles,"After Brad Bird's pitch to John Lasseter at Pixar, The Incredibles was produced using computer animation instead of the originally planned 2D cel animation."
the iron giant,brad bird,"Brad Bird's first feature, The Iron Giant, was a box office bomb. This led to him gravitating toward his superhero story idea and reconnecting with old friend John Lasseter at Pixar in March 2000."
superhero story,brad bird,"Brad Bird's superhero story idea dates back to 1993 when he sketched the family during an uncertain point in his film career, as he pondered whether his career goals were attainable only at the price of his family life."
warner bros.,brad bird,"During his production deal with Warner Bros. Feature Animation, Brad Bird directed his first feature, The Iron Giant, which became a box office bomb."
boyhood,the incredibles,The Incredibles is an homage to Brad Bird's favorite comic books and spy films from his boyhood in the 1960s.
brad bird,pixar,"was sold on the idea and convinced Bird to come to Pixar, where the film would be done in computer animation."
the incredibles,brad bird,written and directed solely by Brad Bird
pixar,the incredibles,"studio announced a multi-film contract with Bird on May 4, 2000."
dad,strong,"The dad is always expected to be strong, so I made him strong."
moms,stretch,"Moms are always pulled in a million different directions, so I made her stretch like taffy."
teenage girls,invisible,"Teenagers, particularly teenage girls, are insecure and defensive, so I made her turn invisible."
teenage girls,shields,And ten-year-old boys are hyperactive energy balls. Babies are unrealized potential.
brad bird,syndrome,"Bird was the writer and director of The Incredibles, and Syndrome was originally a minor character in his story. However, the filmmakers found him more interesting than another character, Xerek, and made him the main antagonist."
holly hunter,helen parr/elastigirl,"Hunter was cast as Elastigirl in The Incredibles, which was a new and exciting opportunity for her, as she had never voiced an animated character before."
syndrome,nomanisan island,"In the original version of The Incredibles, Syndrome was intended to fly Helen Parr/Elastigirl to Nomanisan Island and die there. However, this position was given to a character named Snug instead, after director John Lasseter suggested that Helen should pilot the plane herself."
bird,finest actresses in the world,"capable of playing a ""sensitive"" character who also has ""a very sturdy center"""
bird,voice in certain scenes such as the jungle scene,wanted to give Dash a realistic out-of-breath voice
fox,pixar studio,ran four laps around until he got tired
tomlin,edna mode,initially considered for the role but later turned it down
bird,voice role herself,took on after several failed attempts to cast
computer animation,traditional animation,"Bird found working in computer animation 'difficult' in a different way than working traditionally, finding the software 'sophisticated and not particularly friendly.'"
