node_1,node_2,edge
development,writer-director damien chazelle,"While attending Princeton High School, writer-director Damien Chazelle was in a 'very competitive' Studio Band and drew on the dread he felt in those years."
development,producer jason blum,Right of Way Films and Blumhouse Productions helped Chazelle turn fifteen pages of his original screenplay into a short film starring Johnny Simmons as Neiman and J. K. Simmons (no relation) as Fletcher.
production,miles teller,"In August 2013, Miles Teller signed on to star in the role originated by Johnny Simmons; J. K. Simmons remained attached to his original role."
production,writer-director damien chazelle,The feature-length film was financed for $3.3 million by Bold Films.
fiction short film,johnny simmons,"The eighteen-minute short film received acclaim after debuting at the 2013 Sundance Film Festival, winning the short film Jury Award for fiction."
production,j. k. simmons,"Chazelle gave J. K. Simmons direction that 'I want you to take it past what you think the normal limit would be,' telling him: 'I don't want to see a human being on-screen any'."
i,"monster, gargoyle, animal",direction that 'I want you to take it past what you think the normal limit would be'
human being,"monster, gargoyle, animal",I don't want to see a human being on-screen any more.
real musicians or music students,fear and anxiety,expressions of fear and anxiety when Simmons pressed them
simmons,sweetness,as sweet as can be
nate lang,jazz drumming,trained Teller in the specifics of jazz drumming
